gene_id,gene_name,gm12878_detected,k562_detected,detected_in_both,in_current_background
ENSG00000000003,TSPAN6,False,False,False,True
ENSG00000000005,TNMD,False,False,False,True
ENSG00000000419,DPM1,True,True,True,True
ENSG00000000457,SCYL3,True,True,True,True
ENSG00000000460,FIRRM,False,False,False,True
ENSG00000000938,FGR,True,True,True,True
ENSG00000000971,CFH,False,True,False,True
ENSG00000001036,FUCA2,True,True,True,True
ENSG00000001084,GCLC,False,True,False,True
ENSG00000001167,NFYA,True,True,True,True
ENSG00000001460,STPG1,True,True,True,True
ENSG00000001461,NIPAL3,True,True,True,True
ENSG00000001497,LAS1L,True,True,True,True
ENSG00000001561,ENPP4,True,False,False,True
ENSG00000001617,SEMA3F,True,True,True,True
ENSG00000001626,CFTR,False,True,False,True
ENSG00000001629,ANKIB1,True,True,True,True
ENSG00000001630,CYP51A1,True,True,True,True
ENSG00000001631,KRIT1,True,True,True,True
ENSG00000002016,RAD52,True,True,True,True
ENSG00000002079,,False,True,False,True
ENSG00000002330,BAD,True,True,True,True
ENSG00000002549,LAP3,True,True,True,True
ENSG00000002586,CD99,True,True,True,True
ENSG00000002587,HS3ST1,True,False,False,True
ENSG00000002726,AOC1,False,True,False,True
ENSG00000002745,WNT16,False,False,False,True
ENSG00000002746,HECW1,True,True,True,True
ENSG00000002822,MAD1L1,True,True,True,True
ENSG00000002834,LASP1,True,True,True,True
ENSG00000002919,SNX11,True,True,True,True
ENSG00000002933,TMEM176A,True,True,True,True
ENSG00000003056,M6PR,True,True,True,True
ENSG00000003096,KLHL13,True,True,True,True
ENSG00000003137,CYP26B1,True,True,True,True
ENSG00000003147,ICA1,True,True,True,True
ENSG00000003249,DBNDD1,True,True,True,True
ENSG00000003393,ALS2,True,True,True,True
ENSG00000003400,CASP10,True,True,True,True
ENSG00000003402,CFLAR,True,True,True,True
ENSG00000003436,TFPI,False,False,False,True
ENSG00000003509,NDUFAF7,True,True,True,True
