gene_id	gate_type	complexity_score	gene_id_clean	gene_name
ENSG00000000003	NULL	-1.0	ENSG00000000003	TSPAN6
ENSG00000000005	NULL	-1.0	ENSG00000000005	TNMD
ENSG00000000419	SIMPLE_AND	1.0	ENSG00000000419	DPM1
ENSG00000000457	SIMPLE_AND	1.0	ENSG00000000457	SCYL3
ENSG00000000460	NULL	-1.0	ENSG00000000460	FIRRM
ENSG00000000938	SIMPLE_AND	1.0	ENSG00000000938	FGR
ENSG00000000971	NULL	-1.0	ENSG00000000971	CFH
ENSG00000001036	SIMPLE_AND	1.0	ENSG00000001036	FUCA2
ENSG00000001084	NULL	-1.0	ENSG00000001084	GCLC
ENSG00000001167	SIMPLE_AND	1.0	ENSG00000001167	NFYA
ENSG00000001460	INCONSISTENT	1.0	ENSG00000001460	STPG1
ENSG00000001461	SIMPLE_OR	0.0	ENSG00000001461	NIPAL3
ENSG00000001497	SIMPLE_AND	1.0	ENSG00000001497	LAS1L
ENSG00000001561	SIMPLE_AND	1.0	ENSG00000001561	ENPP4
ENSG00000001617	BIVALENT	4.0	ENSG00000001617	SEMA3F
ENSG00000001626	NULL	-1.0	ENSG00000001626	CFTR
ENSG00000001629	SIMPLE_AND	1.0	ENSG00000001629	ANKIB1
ENSG00000001630	SIMPLE_AND	1.0	ENSG00000001630	CYP51A1
ENSG00000001631	SIMPLE_AND	1.0	ENSG00000001631	KRIT1
ENSG00000002016	BIVALENT	4.0	ENSG00000002016	RAD52
ENSG00000002079	NULL	-1.0	ENSG00000002079	
ENSG00000002330	SIMPLE_AND	1.0	ENSG00000002330	BAD
ENSG00000002549	SIMPLE_AND	1.0	ENSG00000002549	LAP3
ENSG00000002586	SIMPLE_AND	1.0	ENSG00000002586	CD99
ENSG00000002587	BIVALENT	4.0	ENSG00000002587	HS3ST1
ENSG00000002726	NULL	-1.0	ENSG00000002726	AOC1
ENSG00000002745	NULL	-1.0	ENSG00000002745	WNT16
ENSG00000002746	BIVALENT	4.0	ENSG00000002746	HECW1
ENSG00000002822	SIMPLE_AND	1.0	ENSG00000002822	MAD1L1
ENSG00000002834	SIMPLE_AND	1.0	ENSG00000002834	LASP1
ENSG00000002919	SIMPLE_AND	1.0	ENSG00000002919	SNX11
ENSG00000002933	REPRESSED	1.0	ENSG00000002933	TMEM176A
ENSG00000003056	SIMPLE_AND	1.0	ENSG00000003056	M6PR
ENSG00000003096	SIMPLE_OR	0.0	ENSG00000003096	KLHL13
ENSG00000003137	REPRESSED	1.0	ENSG00000003137	CYP26B1
ENSG00000003147	BIVALENT	4.0	ENSG00000003147	ICA1
ENSG00000003249	BIVALENT	4.0	ENSG00000003249	DBNDD1
ENSG00000003393	SIMPLE_AND	1.0	ENSG00000003393	ALS2
ENSG00000003400	SIMPLE_AND	1.0	ENSG00000003400	CASP10
ENSG00000003402	SIMPLE_AND	1.0	ENSG00000003402	CFLAR
ENSG00000003436	NULL	-1.0	ENSG00000003436	TFPI
ENSG00000003509	SIMPLE_AND	1.0	ENSG00000003509	NDUFAF7
ENSG00000003756	SIMPLE_AND	1.0	ENSG00000003756	RBM5
ENSG00000003987	NULL	-1.0	ENSG00000003987	MTMR7
ENSG00000003989	NULL	-1.0	ENSG00000003989	SLC7A2
ENSG00000004059	SIMPLE_AND	1.0	ENSG00000004059	ARF5
ENSG00000004139	NULL	-1.0	ENSG00000004139	SARM1
ENSG00000004142	SIMPLE_AND	1.0	ENSG00000004142	POLDIP2
ENSG00000004399	BIVALENT	4.0	ENSG00000004399	PLXND1
ENSG00000004455	BIVALENT	4.0	ENSG00000004455	AK2
ENSG00000004468	SIMPLE_AND	1.0	ENSG00000004468	CD38
ENSG00000004478	SIMPLE_AND	1.0	ENSG00000004478	FKBP4
ENSG00000004487	SIMPLE_AND	1.0	ENSG00000004487	KDM1A
ENSG00000004534	SIMPLE_AND	1.0	ENSG00000004534	RBM6
ENSG00000004660	SIMPLE_AND	1.0	ENSG00000004660	CAMKK1
ENSG00000004700	SIMPLE_AND	1.0	ENSG00000004700	RECQL
ENSG00000004766	SIMPLE_AND	1.0	ENSG00000004766	VPS50
ENSG00000004776	INCONSISTENT	2.0	ENSG00000004776	HSPB6
ENSG00000004777	SIMPLE_AND	1.0	ENSG00000004777	ARHGAP33
ENSG00000004779	SIMPLE_AND	1.0	ENSG00000004779	NDUFAB1
ENSG00000004799	BIVALENT	4.0	ENSG00000004799	PDK4
ENSG00000004809	REPRESSED	1.0	ENSG00000004809	SLC22A16
ENSG00000004838	SIMPLE_OR	0.0	ENSG00000004838	ZMYND10
ENSG00000004846	NULL	-1.0	ENSG00000004846	ABCB5
