gene_id	gate_type_gm12878	gate_type_k562	and_origin
ENSG00000000457	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000000938	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000000971	NULL	SIMPLE_AND	K562
ENSG00000001084	NULL	INCONSISTENT	NEITHER
ENSG00000001461	SIMPLE_OR	SIMPLE_AND	K562
ENSG00000001561	SIMPLE_AND	NULL	GM12878
ENSG00000001617	BIVALENT	INCONSISTENT	NEITHER
ENSG00000001626	NULL	REPRESSED	NEITHER
ENSG00000002016	BIVALENT	SIMPLE_AND	K562
ENSG00000002079	NULL	REPRESSED	NEITHER
ENSG00000002330	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000002587	BIVALENT	NULL	NEITHER
ENSG00000002726	NULL	INCONSISTENT	NEITHER
ENSG00000003096	SIMPLE_OR	INCONSISTENT	NEITHER
ENSG00000003137	REPRESSED	BIVALENT	NEITHER
ENSG00000003147	BIVALENT	INCONSISTENT	NEITHER
ENSG00000003249	BIVALENT	INCONSISTENT	NEITHER
ENSG00000003393	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000004059	SIMPLE_AND	COMPLEX	GM12878
ENSG00000004399	BIVALENT	SIMPLE_AND	K562
ENSG00000004468	SIMPLE_AND	BIVALENT	GM12878
ENSG00000004660	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000004777	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000004799	BIVALENT	REPRESSED	NEITHER
ENSG00000004838	SIMPLE_OR	NULL	NEITHER
ENSG00000004846	NULL	REPRESSED	NEITHER
ENSG00000004848	REPRESSED	NULL	NEITHER
ENSG00000004939	NULL	INCONSISTENT	NEITHER
ENSG00000004948	NULL	REPRESSED	NEITHER
ENSG00000004975	COMPLEX	INCONSISTENT	NEITHER
ENSG00000005020	REPRESSED	NULL	NEITHER
ENSG00000005059	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000005102	SIMPLE_AND	REPRESSED	GM12878
ENSG00000005108	REPRESSED	NULL	NEITHER
ENSG00000005238	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000005243	INCONSISTENT	NULL	NEITHER
ENSG00000005249	BIVALENT	SIMPLE_AND	K562
ENSG00000005379	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000005436	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000005448	SIMPLE_AND	SIMPLE_OR	GM12878
ENSG00000005469	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000005483	SIMPLE_OR	NULL	NEITHER
ENSG00000005513	REPRESSED	INCONSISTENT	NEITHER
ENSG00000005801	COMPLEX	SIMPLE_AND	K562
ENSG00000005812	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000005844	SIMPLE_AND	NULL	GM12878
ENSG00000005882	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000005884	SIMPLE_AND	BIVALENT	GM12878
ENSG00000005961	NULL	INCONSISTENT	NEITHER
ENSG00000006016	REPRESSED	BIVALENT	NEITHER
ENSG00000006042	REPRESSED	SIMPLE_AND	K562
ENSG00000006047	BIVALENT	INCONSISTENT	NEITHER
ENSG00000006062	SIMPLE_AND	INCONSISTENT	GM12878
ENSG00000006071	REPRESSED	NULL	NEITHER
ENSG00000006116	REPRESSED	NULL	NEITHER
ENSG00000006118	SIMPLE_OR	BIVALENT	NEITHER
ENSG00000006194	COMPLEX	SIMPLE_AND	K562
ENSG00000006210	SIMPLE_OR	NULL	NEITHER
