gene_id,mean_tpm,is_switching,in_zero_stratum
ENSG00000000419,129.51,False,False
ENSG00000000457,2.215,True,False
ENSG00000000938,0.0,True,True
ENSG00000001036,14.16,False,False
ENSG00000001167,4.94,False,False
ENSG00000001460,7.155,False,False
ENSG00000001461,7.015,True,False
ENSG00000001497,30.185,False,False
ENSG00000001617,0.01,True,True
ENSG00000001629,4.45,False,False
ENSG00000001630,26.71,False,False
ENSG00000001631,13.690000000000001,False,False
ENSG00000002016,0.81,True,False
ENSG00000002330,0.825,True,False
ENSG00000002549,61.515,False,False
ENSG00000002586,3.65,False,False
ENSG00000002746,0.03,False,True
ENSG00000002822,1.63,False,False
ENSG00000002834,15.514999999999999,False,False
ENSG00000002919,12.77,False,False
ENSG00000002933,0.0,False,True
ENSG00000003056,58.55,False,False
ENSG00000003096,1.42,True,False
ENSG00000003137,0.0,True,True
ENSG00000003147,4.465,True,False
ENSG00000003249,0.5549999999999999,True,False
ENSG00000003393,2.97,True,False
ENSG00000003400,5.005,False,False
ENSG00000003402,18.145000000000003,False,False
ENSG00000003509,12.100000000000001,False,False
ENSG00000003756,14.254999999999999,False,False
ENSG00000004059,9.635,True,False
ENSG00000004142,14.780000000000001,False,False
ENSG00000004399,0.16,True,False
ENSG00000004455,76.815,False,False
ENSG00000004468,0.045,True,True
ENSG00000004478,12.845,False,False
ENSG00000004487,41.32,False,False
ENSG00000004534,12.73,False,False
ENSG00000004660,0.345,True,False
ENSG00000004700,16.24,False,False
ENSG00000004766,6.82,False,False
ENSG00000004776,0.0,False,True
ENSG00000004777,0.05,True,True
ENSG00000004779,115.16999999999999,False,False
ENSG00000004799,0.01,True,True
ENSG00000004809,0.0,False,True
ENSG00000004864,14.53,False,False
ENSG00000004866,20.455,False,False
ENSG00000004897,21.509999999999998,False,False
ENSG00000004961,15.530000000000001,False,False
ENSG00000004975,0.9750000000000001,True,False
ENSG00000005007,0.33999999999999997,False,False
ENSG00000005022,3532.615,False,False
ENSG00000005059,0.915,True,False
ENSG00000005073,0.0,False,True
ENSG00000005075,28.5,False,False
ENSG00000005100,5.25,False,False
ENSG00000005102,0.0,True,True
ENSG00000005156,5.779999999999999,False,False
ENSG00000005175,25.47,False,False
ENSG00000005189,6.13,False,False
ENSG00000005194,183.175,False,False
ENSG00000005206,0.125,False,False
ENSG00000005238,0.305,True,False
ENSG00000005249,41.974999999999994,True,False
ENSG00000005302,16.064999999999998,False,False
ENSG00000005339,1.72,False,False
ENSG00000005379,0.085,True,True
ENSG00000005436,7.005000000000001,True,False
ENSG00000005448,7.595000000000001,True,False
ENSG00000005469,3.0549999999999997,True,False
ENSG00000005486,3.09,False,False
ENSG00000005513,0.0,True,True
ENSG00000005700,7.805,False,False
ENSG00000005801,24.875,True,False
ENSG00000005810,9.01,False,False
ENSG00000005812,2.44,True,False
ENSG00000005882,0.01,True,True
ENSG00000005884,0.005,True,True
ENSG00000005889,6.744999999999999,False,False
ENSG00000005893,30.545,False,False
ENSG00000006007,13.855,False,False
ENSG00000006015,1.2000000000000002,False,False
ENSG00000006016,1.3199999999999998,True,False
ENSG00000006025,0.24,False,False
ENSG00000006042,80.425,True,False
ENSG00000006047,0.0,True,True
ENSG00000006062,0.265,True,False
ENSG00000006118,0.0,True,True
ENSG00000006125,40.455,False,False
ENSG00000006128,0.0,False,True
ENSG00000006194,3.12,True,False
ENSG00000006282,0.05,True,True
ENSG00000006283,0.0,False,True
ENSG00000006327,0.275,True,False
ENSG00000006377,0.0,False,True
ENSG00000006432,0.035,True,True
ENSG00000006451,4.805,False,False
ENSG00000006453,2.4,False,False
ENSG00000006459,0.685,True,False
ENSG00000006468,4.255,True,False
ENSG00000006530,34.05,False,False
ENSG00000006555,0.0,True,True
ENSG00000006576,11.1,False,False
ENSG00000006607,2.555,False,False
ENSG00000006611,0.0,True,True
ENSG00000006625,196.925,False,False
ENSG00000006634,25.205,False,False
ENSG00000006638,1.65,True,False
ENSG00000006695,8.03,False,False
ENSG00000006704,7.305,True,False
ENSG00000006712,1.01,False,False
ENSG00000006740,0.025,False,True
ENSG00000006744,3.55,False,False
ENSG00000006747,2.77,True,False
ENSG00000006757,40.894999999999996,False,False
ENSG00000006831,10.875,False,False
ENSG00000006837,2.375,True,False
ENSG00000007001,0.0,False,True
ENSG00000007038,9.425,True,False
ENSG00000007047,0.54,False,False
ENSG00000007062,0.0,False,True
ENSG00000007080,4.17,False,False
ENSG00000007129,0.005,True,True
ENSG00000007168,21.549999999999997,False,False
ENSG00000007202,9.955,False,False
ENSG00000007255,0.31999999999999995,True,False
ENSG00000007264,0.15,False,False
ENSG00000007306,0.0,True,True
ENSG00000007341,7.005,False,False
ENSG00000007372,0.925,True,False
ENSG00000007376,0.395,False,False
ENSG00000007384,0.705,False,False
ENSG00000007392,1.775,False,False
ENSG00000007402,0.0,True,True
ENSG00000007516,0.0,True,True
ENSG00000007520,1.5699999999999998,False,False
ENSG00000007541,0.185,False,False
ENSG00000007545,0.275,True,False
ENSG00000007866,0.6000000000000001,True,False
ENSG00000007923,9.34,False,False
ENSG00000007944,8.93,False,False
ENSG00000007968,2.605,True,False
ENSG00000008018,1945.73,False,False
ENSG00000008056,0.025,False,True
ENSG00000008083,4.305,False,False
ENSG00000008086,0.0,True,True
ENSG00000008128,5.115,False,False
ENSG00000008130,1.01,False,False
ENSG00000008226,0.04,True,True
ENSG00000008256,0.18,True,False
ENSG00000008277,0.02,True,True
ENSG00000008282,137.96,True,False
ENSG00000008283,2.635,False,False
ENSG00000008294,8.925,False,False
ENSG00000008300,0.125,True,False
ENSG00000008311,0.0,True,True
ENSG00000008323,0.0,True,True
ENSG00000008324,235.425,True,False
ENSG00000008382,0.74,True,False
ENSG00000008394,130.29500000000002,False,False
ENSG00000008405,6.09,False,False
ENSG00000008441,0.27,False,False
ENSG00000008513,1.085,True,False
ENSG00000008516,0.065,False,True
ENSG00000008710,0.10500000000000001,True,False
ENSG00000008838,4.475,True,False
ENSG00000008869,2.5700000000000003,False,False
ENSG00000008952,102.73,True,False
ENSG00000008988,1908.245,False,False
ENSG00000009307,108.97999999999999,True,False
ENSG00000009335,6.71,False,False
ENSG00000009413,4.359999999999999,False,False
ENSG00000009709,0.0,False,True
ENSG00000009780,10.315000000000001,True,False
ENSG00000009830,0.33,False,False
ENSG00000009844,108.97,False,False
ENSG00000009954,16.705,False,False
ENSG00000010017,20.465,False,False
ENSG00000010030,0.095,True,True
ENSG00000010072,5.3,False,False
ENSG00000010165,12.83,False,False
ENSG00000010244,126.02499999999999,False,False
ENSG00000010256,97.31,False,False
ENSG00000010270,64.275,False,False
ENSG00000010278,0.45499999999999996,True,False
ENSG00000010292,10.035,False,False
ENSG00000010310,1.335,False,False
ENSG00000010318,1.78,False,False
ENSG00000010322,0.345,False,False
ENSG00000010361,0.09,True,True
