Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,label,origin_group,nominal_p_threshold_used
gs_ind_0,Herpes simplex virus 1 infection,133/493,5.589442493031693e-41,2.4638262509283703e-37,4.8721779213116445,451.5783429878494,ZNF799;NFKB1;ZNF81;ZNF674;ZNF569;ZNF571;ZNF85;ZNF225;ZNF557;ZNF552;ZNF101;ZNF543;ZNF790;TRADD;ZNF605;ZNF785;ZNF514;ZNF597;ZNF200;ZNF436;ZNF563;ZNF34;ZNF726;ZNF224;ZNF184;ZNF182;ZNF30;ZNF44;ZNF17;ZNF484;ZNF671;BAD;ZNF786;C5;RNASEL;ZNF519;ZNF181;HLA-DMA;ZNF620;ZNF41;ZNF623;ZNF607;ZNF235;IKBKE;ZNF764;ZNF700;ZNF778;ZNF555;BCL2;ZNF14;ZNF813;TAP2;ZNF783;ZNF596;ZNF169;ZNF234;ZNF304;ZNF823;ZNF212;ZNF566;ZNF136;ZNF684;ZNF443;ZNF133;ZNF736;ZNF283;ZNF316;ZNF10;ZNF251;ZNF717;ZNF441;ZNF25;ZNF33A;ZNF567;ZNF79;ZFP82;ZNF222;ZNF688;ZNF205;ZNF845;PIK3R1;ZNF707;ZNF383;SYK;ZNF417;ZNF8;ZNF680;ZNF20;ZNF189;PIK3R3;ZNF19;ZNF77;ZNF2;TP53;TNFRSF14;IFNGR1;IRF9;ZNF891;ZNF23;ZNF418;ZNF221;IFIH1;ZNF599;ZNF780B;CCL5;ZNF619;ZNF641;ZNF559;HCFC2;ZNF510;ZNF248;ZNF559-ZNF177;ZNF57;ZNF91;ZNF517;ZNF761;ZNF878;ZNF433;ZNF589;ZNF616;RBAK;ZNF530;IRF7;ZNF547;ZNF337;ZNF550;EIF2AK3;TICAM1;OAS3;ZNF480;TRAF5;ZNF630;ZNF333,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Regulation Of DNA-templated Transcription (GO:0006355),294/1911,3.61892198827935e-35,7.976104062167687e-32,2.450952123203427,194.37104752928977,ZNF799;MAP3K12;ZNF524;MTRES1;NFKB1;PKNOX1;CDK11B;PURB;IRF2;RB1;TGFB3;CDKN2AIP;ZSCAN31;KAT2B;NCOA2;CBFA2T2;ZNF85;OSR2;SFR1;WWC3;MBIP;JDP2;ZNF446;ZNF449;RYBP;JMY;ZNF101;CD80;NFATC4;HOXB4;BICRA;MAFK;FOSL1;ZNF397;ZNF516;SIRT1;EBF1;ANKRD49;ZBTB22;ZNF219;KAT6B;EID2B;ETV6;ZSCAN21;BRD1;FOXO1;SGF29;GZF1;TULP3;ZNF597;ZNF563;ZNF296;MLLT11;ZNF224;ZBTB3;THAP1;MELTF;MSL2;KLF9;ZNF44;ZNF500;FOXJ2;MED29;ZNF671;ZNF525;ZXDB;TADA2B;E2F7;TAF5;MXD3;CC2D1A;KLF12;FZD2;LANCL2;MAP2K3;RFX1;DXO;ZNF519;IKZF5;ATXN1L;ZNF740;PPP1R13L;ANXA4;ZNF76;EID2;KDM8;TBX6;RPS6KA5;PATZ1;PRR7;ZNF700;HEY1;LCORL;TFPT;ZEB1;SETDB2;ELK4;GMEB1;ZNF14;ZKSCAN2;SP2;HEXIM2;ZNF35;SPIN3;BCL7C;ELK3;APBB3;SPIN2B;GLI4;RELB;INO80D;ING4;BTRC;ZNF138;ZNF212;ZNF823;TSHZ1;ZHX3;HAVCR2;MAFF;ZSCAN22;ZNF579;CYP27B1;AKAP17A;SIX5;ZSCAN29;ZNF443;CREB3;ZNF736;CEP290;ZNF691;ZBTB43;ZNF316;METTL4;ZC3H8;PPARGC1B;ZNF18;ZKSCAN4;CREB3L4;BRPF3;DTX3L;MPHOSPH8;PCBD2;BCL3;E2F2;ZNF696;ZNF441;ZSCAN26;POLR3F;LOXL3;FOXP4;TFEB;MZF1;IKZF2;GPATCH3;ZNF33A;ZNF821;SAP30L;ZNF567;ING2;ZNF865;SFMBT1;ZBTB4;MAP3K5;RBM15B;CAMK2D;ZNF485;PBXIP1;ZXDC;SMURF2;KAT14;ZNF205;E2F5;PIAS2;ZNF707;RFX3;GLRX2;ZNF383;NMNAT1;ARID5A;HDAC10;ZSCAN20;ZNF680;INO80B;CALCOCO1;FOXN3;CREBRF;SOX4;ZFAT;ZNF165;ZNF628;GMEB2;CDK5R1;CSRNP2;ZNF2;SP140L;TP53;HIC1;HINFP;NFKB2;DGKQ;PARP9;IRF9;ZNF221;ZNF66;SMAD7;CREBL2;FOXO4;SUFU;ZFHX2;ZNF780B;RFXAP;DBP;BCL10;TOX2;HTATSF1;MED31;POU6F1;ZBTB10;ARID5B;NKAP;INSR;FOSB;CBY1;KTI12;ZNF92;ZNF215;PBX4;KLF13;ZNF345;ZNF367;PPARD;ZMIZ2;HCFC2;HMX3;HCLS1;TP53INP2;ZNF117;PURA;TRIP4;ZNF510;CCDC106;ATXN1;DYRK1B;E2F1;NRL;ZKSCAN3;ESR2;MBTD1;TRERF1;ZBTB14;ZNF57;ZNF517;ATXN7;BRCA2;ZNF653;ZNF646;ZNF75D;ZBTB24;ZNF395;ZNF878;MLLT3;ZNF408;ATF5;INO80C;RNF20;HIVEP3;ZNF433;ZBTB47;NR1D1;HEXIM1;TP53INP1;RBAK;WWC1;PER2;MNT;KLRG1;IRF7;ZNF202;ZNF710;NR4A2;ZBTB41;ZNF438;MXD4;ZNF341;ZNF497;E2F8;ZNF213;LOC122539214;SAP18;SAP30;NFE2L3;MAP3K10;GCFC2,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Negative Regulation Of DNA-templated Transcription (GO:0045892),166/1023,1.4443337291927408e-22,2.122207692760534e-19,2.5504950641651134,128.26241738279256,LINC-PINT;NFKB1;RB1;IRF2;ZNF674;ZBTB37;CBFA2T2;OSR2;ZNF557;WWC3;JDP2;MAGEH1;TLE6;NFATC4;MAFK;MOSPD1;SIRT1;ZNF219;KAT6B;ZNF785;EID2B;MAGED2;ETV6;TAF3;GZF1;FOXO1;ZNF436;DUSP22;ZNF224;UBE2D1;PEX2;THAP1;ZSCAN2;E2F7;LANCL2;KLF12;PLK3;IKZF5;ZNF620;CPEB3;EID2;KDM8;ZNF764;TBX6;RPS6KA5;PATZ1;HEY1;ZNF778;SETDB2;ZEB1;ELK4;ZNF555;OTUD7B;SP2;HEXIM2;ELK3;ING4;BTRC;SEMA4D;ZNF596;ZNF169;ZMYM5;ZNF304;ZHX3;MAFF;CYP27B1;ZNF566;ZNF136;ZNF684;ZNF133;ZBTB39;ZC3H8;ZNF10;MPHOSPH8;BCL3;LOXL3;MZF1;ZNF25;SAP30L;ING2;ZBTB4;ZNF79;RBM15B;SFMBT1;ZBTB25;PBXIP1;SMURF2;ZNF205;MAGEF1;MEIS2;RFX3;ZBTB2;NMNAT1;ARID5A;HDAC10;ZNF8;IRF2BPL;ZNF20;FOXN3;ZNF19;SOX4;ZNF77;CDK5R1;HINFP;TP53;HIC1;ZBTB1;PARP9;ZNF891;ZBTB20;SMAD7;BRMS1L;SUFU;ZNF599;ZNF619;POU6F1;ZBTB10;ARID5B;ZNF491;NSMCE3;NKAP;CBY1;FOSB;BEND3;ZNF641;ZBTB26;ZNF559;ZNF345;HCFC2;PPARD;PURA;FLYWCH1;ATXN1;E2F1;ZKSCAN3;ESR2;ZNF248;TRERF1;ZBTB14;SOX12;BCL6B;ATF5;ZNF512B;NR1D1;ZBTB6;ZNF589;RBAK;HEXIM1;WWC1;PER2;IRF7;ZFP36;MNT;MXD4;NR4A2;ZNF337;ZNF202;ZNF550;ZBTB49;MED9;E2F8;SAP18;SAP30;ZBTB32;MAP3K10;GCFC2,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Organelle Assembly (GO:0070925),78/313,3.1592359179522753e-22,3.4814779815834076e-19,4.319962737684257,213.86641604470395,TRAPPC14;UBXN2A;TOGARAM1;ALPK1;TXNDC15;TCTN1;AP1S3;GABARAPL1;MKKS;RILPL2;VPS4B;FUZ;ATG2B;OFD1;MACIR;HPS3;ATG14;IFT46;STX12;HPS6;CHMP6;RAB3IP;CHMP1B;KIF3A;RAB23;WIPI1;WDR19;BBIP1;CEP290;KIF27;CHMP2B;ATG16L2;VPS37C;ULK1;DNMBP;FBF1;ARL6;UBXN2B;ATAT1;RFX3;RP2;ARMC9;IFT22;STK36;IFT74;FAM149B1;TMEM67;CEP162;KIF24;FAM161A;TMEM216;IFT81;SPAG16;TMEM237;CEP83;NPHP3;TCTN2;NEK1;ARL3;IFT80;TP53INP2;B9D1;IFT20;KIAA0753;HPS5;RAB43;CILK1;STX7;EHD4;TTBK2;PIBF1;RPGR;TP53INP1;SNX10;DYNLT2B;CORO1A;BBS9;IFT27,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),133/762,4.19248965286732e-21,3.696098877967829e-18,2.7710810641532646,130.0218730138088,LINC-PINT;NFKB1;RB1;IRF2;ZNF674;ZBTB37;OSR2;ZNF557;WWC3;JDP2;MAGEH1;TLE6;MAFK;MOSPD1;SIRT1;ZNF219;ZNF785;MAGED2;ETV6;TAF3;GZF1;ZNF436;DUSP22;ZNF224;UBE2D1;PEX2;THAP1;ZSCAN2;E2F7;CC2D1A;KLF12;PLK3;IKZF5;ZNF620;CPEB3;ZNF764;TBX6;PATZ1;HEY1;ZNF778;ZEB1;ELK4;ZNF555;OTUD7B;SP2;HEXIM2;SEMA4D;ZNF596;ZNF169;ZMYM5;ZNF304;MAFF;CYP27B1;ZNF566;ZNF136;ZNF684;ZNF133;ZBTB39;ZNF10;MZF1;ZNF25;SAP30L;ING2;ZBTB4;ZNF79;ZBTB25;SMURF2;ZNF205;MAGEF1;MEIS2;ZBTB2;ARID5A;HDAC10;ZNF8;IRF2BPL;ZNF20;ZNF19;SOX4;ZNF77;BAG3;TP53;HIC1;ZBTB1;PARP9;ZNF891;ZBTB20;SMAD7;BRMS1L;SUFU;ZNF599;ZNF619;POU6F1;ZBTB10;ARID5B;ZNF491;NSMCE3;NKAP;FOSB;BEND3;ZNF641;ZBTB26;ZNF559;ZNF345;HCFC2;PPARD;PURA;FLYWCH1;ATXN1;E2F1;ZKSCAN3;ESR2;ZNF248;SOX12;BCL6B;NR1D1;ZBTB6;ZNF589;HEXIM1;WWC1;PER2;IRF7;ZFP36;MNT;MXD4;NR4A2;ZNF337;ZNF202;ZNF550;ZBTB49;MED9;E2F8;SAP30;ZBTB32,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Cilium Assembly (GO:0060271),63/232,2.730298124561471e-20,2.0058590221778273e-17,4.839441742946388,218.00374073101267,IFT46;TCTN2;TRAPPC14;FBF1;TOGARAM1;NEK1;ARL3;ARL6;TMEM80;TBC1D32;ALPK1;RPGRIP1L;ATAT1;IFT80;GORAB;RFX3;RP2;B9D1;RAB3IP;TXNDC15;ARMC9;IFT22;STK36;IFT20;IFT74;KIAA0753;BBOF1;CC2D2B;TCTN1;CEP162;FAM149B1;TMEM67;CILK1;MKKS;EHD4;ENKD1;TTBK2;DNMBP;RILPL2;PIBF1;KIF3A;RAB23;RPGR;FUZ;WDR19;KIF24;IFT27;SNX10;BBIP1;CEP290;KIF27;DYNLT2B;FAM161A;TMEM216;IFT81;BBS10;SPAG16;TMEM237;BBS9;OFD1;MACIR;CEP83;NPHP3,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Cilium Organization (GO:0044782),59/217,3.9977398662384474e-19,2.517433904339868e-16,4.844310093451875,205.22138613816,IFT46;TCTN2;TRAPPC14;FBF1;TOGARAM1;NEK1;ARL3;ARL6;FAM161B;CEP78;ALPK1;ATAT1;IFT80;RFX3;CCDC32;RP2;B9D1;RAB3IP;TXNDC15;ARMC9;IFT22;STK36;IFT20;IFT74;KIAA0753;TCTN1;CEP162;FAM149B1;TMEM67;CILK1;MKKS;EHD4;TTBK2;DNMBP;RILPL2;PIBF1;KIF3A;RAB23;RPGR;FUZ;WDR19;KIF24;IFT27;SNX10;CEP290;KIF27;BBIP1;DYNLT2B;FAM161A;TMEM216;IFT81;SPAG16;TMEM237;CCP110;BBS9;OFD1;MACIR;CEP83;NPHP3,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),62/265,1.527647665797231e-16,8.417338638542743e-14,3.9626949479770412,144.31196796427272,AIF1;IFT46;TCTN2;TRAPPC14;FBF1;TOGARAM1;NEK1;ARL3;ARL6;ALPK1;ATAT1;IFT80;CARMIL1;RFX3;RP2;B9D1;RAB3IP;TXNDC15;ARMC9;SRGAP3;IFT22;STK36;IFT20;IFT74;KIAA0753;TCTN1;CEP162;FAM149B1;TMEM67;CILK1;MKKS;EHD4;TTBK2;DNMBP;RILPL2;PIBF1;KIF3A;S1PR2;RAB23;RPGR;FUZ;WDR19;KIF24;IFT27;SNX10;CEP290;BBIP1;KIF27;DYNLT2B;FAM161A;TMEM216;WHAMM;IFT81;SPAG16;TMEM237;BBS9;OFD1;S1PR1;MACIR;CEP83;NPHP3;RAP2A,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),81/451,4.3584668764787276e-14,2.1346802212798037e-11,2.843866955270608,87.4889247565167,CDK11B;RB1;IRF2;KAT2B;NCOA2;ZNF85;WWC3;MBIP;RYBP;ZNF516;ZNF219;KAT6B;ZSCAN21;BRD1;SGF29;GZF1;TULP3;THAP1;ZNF519;ATXN1L;RPS6KA5;PATZ1;SPIN3;ZNF35;APBB3;GLI4;SPIN2B;ING4;ZNF138;ZNF212;AKAP17A;ZNF736;PPARGC1B;BRPF3;ZSCAN26;MZF1;TFEB;ZNF33A;SAP30L;ING2;ZBTB4;KAT14;ZNF205;GLRX2;RFX3;HDAC10;ZNF680;FOXN3;SOX4;ZFAT;ZNF628;ZNF2;HINFP;TP53;HIC1;NFKB2;ZNF221;ZNF66;CREBL2;FOXO4;SUFU;INSR;ZNF92;HCFC2;HCLS1;ZNF117;TRIP4;E2F1;ESR2;BRCA2;ZNF653;ZNF646;ZNF395;ATF5;RNF20;RBAK;WWC1;KLRG1;ZNF341;SAP30;GCFC2,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
gs_ind_0,Regulation Of Gene Expression (GO:0010468),152/1123,1.0668149232307561e-13,4.702520181601173e-11,2.0461601298333596,61.11661104092349,NFKB1;CDK11B;RB1;IRF2;RIGI;KAT2B;NCOA2;ZBTB37;ZNF85;OSR2;DLL1;WWC3;MBIP;TCEAL1;RYBP;ZNF516;SIRT1;LAMP3;ZNF219;KAT6B;ZNF335;ZSCAN21;BRD1;SGF29;GZF1;TULP3;TOB2;THAP1;MSL2;EOLA1;BTN2A2;TADA2B;ZNF519;ATXN1L;BTN3A2;ATG14;ACTA2;AIF1;ADAM19;ZC3H12A;RPS6KA5;PATZ1;RNF207;SETDB2;SPIN3;ZNF35;VSIR;APBB3;GLI4;SPIN2B;ING4;ZNF138;HFE;ZNF212;PDCL3;HAVCR2;BTN3A1;ANKRA2;CYP27B1;AKAP17A;SMCR8;ZNF736;ZBTB39;METTL4;PPARGC1B;BRPF3;TRIM6;ZSCAN26;TFEB;MZF1;ITGB8;ZNF33A;SAP30L;GLMN;ING2;ZBTB4;ZNF513;BTN2A1;ZBTB25;KAT14;TIPARP;ZNF205;GLRX2;RFX3;ZBTB2;BMPR2;HDAC10;ZNF680;FOXN3;CALCOCO1;ZC3H10;PIK3R3;SOX4;ZFAT;ZNF628;ZNF2;PTPN22;HINFP;TP53;HIC1;TRAPPC2B;IFNGR1;NFKB2;ZBTB1;DGKQ;PARP9;LRP3;ZBTB20;ZNF221;ZNF66;KDM6B;CREBL2;FOXO4;SUFU;FAM98B;INSR;ZNF92;PTPRC;ZBTB26;ZNF407;COQ7;SPRY2;HCFC2;SFMBT2;HCLS1;ZNF117;TRIP4;E2F1;ESR2;ATXN7;BRCA2;ZNF646;BCL6B;ZNF395;BTN2A3P;ATF5;RNF20;TLR6;ZBTB6;ILDR1;RBAK;WWC1;KLRG1;ZBTB49;ZNF341;EIF2AK3;TICAM1;METTL18;SAP30;ZBTB32;BTN3A3;GCFC2,EXPLORATORY -- NOT FDR-CORRECTED,GM12878-origin,0.05
