Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,label,origin_group,nominal_p_threshold_used
gs_ind_0,Spliceosome,6/148,2.9823165700509495e-05,0.018728948059919964,11.773550898522902,122.6830505176871,RNU1-1;RNU6-1;RNU4-1;RNU1-2;RNU6-9;RNU4-2,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,RNA transport,6/185,0.00010293312857586339,0.032076395871324215,9.338545944069562,85.74121539117027,RNU1-1;RNU6-1;RNU4-1;RNU1-2;RNU6-9;RNU4-2,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,heme Metabolism,6/199,0.00015323119046810929,0.032076395871324215,8.660030002434752,76.06591675487955,PC;RHCE;AQP3;XK;KLF1;LMO2,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Complement and coagulation cascades,4/85,0.0003795722702126691,0.059592846423389044,14.100646658928868,111.06325755598884,F2RL3;PROS1;CFD;CR1L,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Negative Regulation Of Cell Adhesion Mediated By Integrin (GO:0033629),2/9,0.0005551181288948563,0.06972283698919396,84.26211671612265,631.656601552376,MUC1;PDE3B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Transcriptional misregulation in cancer,5/189,0.000989125770022863,0.09059007302664955,7.640352385396966,52.8612225057665,NTRK1;MITF;CDKN2C;CEBPB;LMO2,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902166),2/12,0.0010097619604881318,0.09059007302664955,60.182987141444116,415.14469225717187,ZNF385A;MUC1,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage By P53 Class Mediator (GO:1902165),2/13,0.0011902397195100237,0.09343381798153685,54.94839375564443,370.0005342596478,ZNF385A;MUC1,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator (GO:1902254),2/16,0.0018168435019363344,0.09901459374815041,43.576690883045124,274.9974457847136,ZNF385A;MUC1,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Protein Localization To Plasma Membrane (GO:0072659),4/133,0.002015101482284545,0.09901459374815041,8.864134404674946,55.02044209613892,FCHO2;P2RY1;MRAP2;TTC7B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Positive Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0036003),2/17,0.0020537206766377183,0.09901459374815041,40.76433425863885,252.2538651489742,MUC1;CEBPB,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Response To Metal Ion (GO:0010038),3/64,0.002151346216544432,0.09901459374815041,14.453755612182988,88.77007416505518,AQP3;MT1X;TESMIN,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Coagulation,4/138,0.0023039828828021686,0.09901459374815041,8.533607957399779,51.825590729534085,APOC1;P2RY1;PROS1;CFD,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Negative Regulation Of Lipid Catabolic Process (GO:0050995),2/18,0.0023044137011956024,0.09901459374815041,38.29286934628181,232.5498765339684,APOC1;PDE3B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Protein Localization To Cell Periphery (GO:1990778),4/139,0.002364998258315695,0.09901459374815041,8.47042983943353,51.22050283437155,FCHO2;P2RY1;MRAP2;TTC7B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Response To ATP (GO:0033198),2/20,0.002846798926826505,0.11173685787794031,34.15149570935921,200.18104458872412,P2RY1;CIB2,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Regulation Of Supramolecular Fiber Organization (GO:1902903),2/23,0.0037612106901544406,0.13122446185649936,29.384100476157617,164.05185554131268,MAP1A;MAP1B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Regulation Of Lipid Catabolic Process (GO:0050994),2/23,0.0037612106901544406,0.13122446185649936,29.384100476157617,164.05185554131268,APOC1;PDE3B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Regulation Of Microtubule Depolymerization (GO:0031114),2/24,0.004092464516988839,0.1352667219299469,28.077481041872733,154.3870596026877,MAP1A;MAP1B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902230),2/25,0.004436762220694227,0.13931433372979873,26.882063261569545,145.6424595029474,ZNF385A;MUC1,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Negative Regulation Of Lipid Metabolic Process (GO:0045833),2/26,0.004793996124362792,0.14100126837734372,25.784230606189062,137.69787181823793,APOC1;PDE3B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
gs_ind_0,Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110),2/27,0.0051640591921638624,0.14100126837734372,24.772502472799207,130.45279925365872,MAP1A;MAP1B,EXPLORATORY -- NOT FDR-CORRECTED,K562-origin,0.05
