Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
gs_ind_0,Herpes simplex virus 1 infection,133/369,1.2179993207463031e-12,5.368941005849705e-09,2.2608577924125797,62.023946515121,ZNF671;ZNF25;ZNF605;ZNF91;ZNF813;SYK;ZNF597;OAS3;ZNF81;ZNF235;ZNF484;RBAK;ZNF436;ZNF641;RNASEL;BAD;IKBKE;ZNF530;ZNF57;ZNF333;ZNF878;ZNF778;ZNF34;ZNF510;ZNF680;ZNF251;BCL2;ZNF480;PIK3R3;ZNF17;ZNF567;ZNF563;ZNF19;ZNF222;ZNF623;C5;ZNF212;ZNF133;ZNF79;ZNF383;ZNF619;ZNF234;TNFRSF14;ZNF607;ZNF433;ZNF283;ZNF707;ZNF184;ZNF552;IRF7;CCL5;ZNF41;ZNF717;ZNF443;ZNF630;ZNF517;ZNF555;ZNF571;IRF9;ZNF559-ZNF177;ZNF33A;TRADD;ZNF790;ZNF23;ZNF316;ZNF418;ZNF799;ZNF225;HCFC2;TAP2;IFNGR1;ZNF726;ZNF169;TRAF5;ZNF514;ZNF700;ZNF181;ZNF547;ZNF8;ZNF761;ZNF543;ZNF589;ZNF14;TICAM1;ZNF823;TP53;ZNF566;ZNF785;ZFP82;ZNF674;ZNF136;ZNF441;ZNF221;ZNF200;ZNF599;ZNF845;ZNF688;ZNF77;HLA-DMA;ZNF182;ZNF783;ZNF10;ZNF85;ZNF557;ZNF550;ZNF224;ZNF30;ZNF616;ZNF44;EIF2AK3;ZNF559;ZNF519;PIK3R1;ZNF736;IFIH1;ZNF101;ZNF764;ZNF304;NFKB1;ZNF337;ZNF891;ZNF205;ZNF189;ZNF620;ZNF248;ZNF2;ZNF596;ZNF780B;ZNF786;ZNF569;ZNF417;ZNF684;ZNF20
gs_ind_0,Cilium Assembly (GO:0060271),63/186,1.064462157679772e-05,0.023460745955262177,2.0311945538511873,23.258103479645573,ENKD1;FUZ;TCTN2;FAM161A;TRAPPC14;IFT80;RPGRIP1L;PIBF1;IFT27;GORAB;B9D1;RAB3IP;KIF24;IFT22;RILPL2;ARL3;KIF3A;OFD1;EHD4;SNX10;FAM149B1;CEP162;MACIR;TMEM237;IFT81;ATAT1;CC2D2B;BBIP1;RFX3;TCTN1;TMEM216;CILK1;RP2;MKKS;FBF1;TMEM67;IFT74;RPGR;ARMC9;IFT20;DNMBP;NEK1;ARL6;BBOF1;CEP83;BBS10;KIAA0753;CEP290;STK36;IFT46;TTBK2;DYNLT2B;BBS9;RAB23;ALPK1;TOGARAM1;TXNDC15;NPHP3;TBC1D32;WDR19;KIF27;TMEM80;SPAG16
gs_ind_0,Cilium Organization (GO:0044782),59/175,2.3370159717413145e-05,0.03433855467811905,2.0161345624329945,21.500160940082225,FUZ;TCTN2;FAM161A;TRAPPC14;IFT80;PIBF1;IFT27;B9D1;RAB3IP;KIF24;IFT22;RILPL2;ARL3;KIF3A;OFD1;EHD4;SNX10;FAM161B;CEP162;MACIR;FAM149B1;TMEM237;IFT81;ATAT1;BBIP1;RFX3;TCTN1;TMEM216;CILK1;RP2;MKKS;FBF1;TMEM67;IFT74;RPGR;ARMC9;IFT20;DNMBP;NEK1;CEP78;ARL6;CCP110;CEP83;KIAA0753;STK36;CEP290;IFT46;TTBK2;DYNLT2B;BBS9;RAB23;CCDC32;ALPK1;TOGARAM1;TXNDC15;NPHP3;WDR19;KIF27;SPAG16
gs_ind_0,Organelle Assembly (GO:0070925),78/259,0.00011416007909476641,0.1258044071624326,1.7087683735868693,15.512043612875043,CHMP6;TCTN2;OFD1;TMEM237;ATAT1;RP2;VPS37C;ARMC9;IFT20;NEK1;DNMBP;TP53INP1;IFT46;DYNLT2B;RAB23;ALPK1;GABARAPL1;NPHP3;FAM161A;TRAPPC14;IFT80;CHMP2B;KIF24;CEP162;MACIR;IFT81;HPS3;CEP83;CEP290;CORO1A;ATG16L2;TOGARAM1;HPS6;TP53INP2;B9D1;KIF3A;EHD4;SNX10;STX12;RFX3;CILK1;UBXN2A;MKKS;IFT74;ULK1;ARL6;KIAA0753;WIPI1;BBS9;UBXN2B;ATG14;TXNDC15;WDR19;KIF27;RAB43;SPAG16;FUZ;PIBF1;IFT27;RAB3IP;IFT22;RILPL2;ARL3;FAM149B1;BBIP1;TCTN1;AP1S3;TMEM216;CHMP1B;TMEM67;RPGR;STK36;STX7;TTBK2;VPS4B;HPS5;ATG2B;FBF1
gs_ind_0,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),12/21,0.00022977683247036646,0.20257125550587507,5.160901045856798,43.24010371504979,COX20;COX17;COA8;PET117;UQCC5;COX16;SURF1;COX19;TMEM223;PET100;FASTKD3;SMIM20
gs_ind_0,Activation Of GTPase Activity (GO:0090630),25/64,0.0004539542718481482,0.3335050717177729,2.536486743528228,19.524642441819488,TBC1D8;TBC1D2B;TBC1D22A;ARHGAP24;TBC1D12;SIPA1L1;CCDC125;BCAS3;TBC1D10A;RALGAPA2;SGSM2;TBC1D10C;TBC1D17;AGAP2;TBC1D13;GMIP;TBC1D22B;ARHGAP42;SIPA1L3;TBC1D4;ARHGAP45;TBC1D2;GARNL3;TBC1D25;TBC1D30
gs_ind_0,Negative Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120033),10/18,0.0010491780590301863,0.4955578906274654,4.8424562299594225,33.218030514956915,ARHGAP24;KANK1;ODF2L;TCHP;CCP110;TESK1;KIF24;CEP97;LIMK2;TBC1D30
gs_ind_0,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),62/209,0.0008361384611438881,0.4955578906274654,1.6700389428607065,11.835092256817417,FUZ;SRGAP3;TCTN2;FAM161A;TRAPPC14;IFT80;S1PR2;PIBF1;IFT27;B9D1;RAB3IP;KIF24;IFT22;RILPL2;ARL3;KIF3A;S1PR1;OFD1;EHD4;SNX10;FAM149B1;CARMIL1;MACIR;CEP162;TMEM237;IFT81;ATAT1;BBIP1;RFX3;TCTN1;TMEM216;CILK1;RP2;MKKS;FBF1;TMEM67;IFT74;RPGR;ARMC9;IFT20;DNMBP;NEK1;WHAMM;ARL6;KIAA0753;CEP83;RAP2A;STK36;CEP290;IFT46;TTBK2;DYNLT2B;BBS9;RAB23;ALPK1;TOGARAM1;TXNDC15;NPHP3;AIF1;WDR19;KIF27;SPAG16
gs_ind_0,Negative Regulation Of Cilium Assembly (GO:1902018),7/10,0.0009654430925891437,0.4955578906274654,8.39552495697074,58.28948666815294,ODF2L;TESK1;TCHP;KIF24;CEP97;LIMK2;TBC1D30
gs_ind_0,Negative Regulation Of Organelle Assembly (GO:1902116),13/27,0.0011242238898082246,0.4955578906274654,3.651459398258379,24.795827884325433,MTM1;TBC1D30;FEZ1;NBDY;ODF2L;TCHP;CCP110;LIMK2;SMCR8;KIF24;CEP97;TESK1;KAT2B
gs_ind_0,Negative Regulation Of T Cell Mediated Immunity (GO:0002710),5/6,0.0017407595902624992,0.6099031026471953,14.358805586771552,91.22771952049308,HFE;PTPRC;CD80;IL4I1;SMAD7
gs_ind_0,Positive Regulation Of T Cell Apoptotic Process (GO:0070234),5/6,0.0017407595902624992,0.6099031026471953,14.358805586771552,91.22771952049308,ZC3H8;CD274;TP53;CCL5;PDCD1
gs_ind_0,Respiratory Chain Complex IV Assembly (GO:0008535),12/25,0.001798716046827028,0.6099031026471953,3.6305533208188074,22.947573663637655,COX20;COX17;COA8;PET117;UQCC5;COX16;SURF1;COX19;TMEM223;PET100;FASTKD3;SMIM20
gs_ind_0,Defense Response To Virus (GO:0051607),40/127,0.001990782400353089,0.6268120586254583,1.8202407626469974,11.320491501433342,MX1;APOBEC3G;IFIH1;TRIM56;IRF7;OAS3;MLKL;IFIT1;IFI6;PYCARD;NCBP3;TRIM21;MAP3K14;PMAIP1;SENP7;RIGI;DHX58;RAB2B;TRIM52;RNASEL;IKBKE;APOBEC3F;MARCHF2;PTPRC;IFIT5;IFIT3;BCL2;SHFL;DDX60;UBE2W;SLFN13;IRF2;SERINC5;TRIM13;RNF185;TRIM32;CARD8;TRIM26;APOBEC3D;TRIM6
gs_ind_0,Intraciliary Anterograde Transport (GO:0035720),7/11,0.0021876936017683505,0.6329629586688398,6.529317269076305,39.991463919376194,IFT74;IFT20;IFT80;IFT27;IFT81;IFT46;IFT22
gs_ind_0,Regulation Of Cilium Assembly (GO:1902017),21/56,0.002297506202064754,0.6329629586688398,2.3772861470907096,14.444226607091883,FUZ;TBC1D2B;TBC1D8;TBC1D22A;TCHP;KIF24;TBC1D10A;CYLD;TBC1D10C;TBC1D17;TBC1D13;TBC1D22B;IFT20;CCP110;DYNLT2B;TESK1;ODF2L;TBC1D2;CEP97;LIMK2;TBC1D30
