biotype,biomart_count,gtf_count,abs_diff
protein_coding,23272,20107,3165
lncrna,36476,34866,1610
unprocessed_pseudogene,2804,1951,853
processed_pseudogene,10231,9484,747
transcribed_unprocessed_pseudogene,1798,1584,214
misc_rna,2418,2207,211
snrna,2094,1901,193
ig_v_pseudogene,300,187,113
ig_v_gene,229,146,83
snorna,1063,985,78
transcribed_processed_pseudogene,1218,1148,70
mirna,1944,1878,66
tec,1084,1019,65
tr_v_gene,160,107,53
ig_d_gene,64,37,27
rrna,71,47,24
pseudogene,20,0,20
rrna_pseudogene,516,497,19
tr_j_gene,93,79,14
tr_v_pseudogene,46,33,13
ig_c_gene,23,14,9
unitary_pseudogene,98,90,8
ig_j_gene,24,18,6
transcribed_unitary_pseudogene,211,206,5
ig_j_pseudogene,6,3,3
scarna,54,52,2
ig_c_pseudogene,11,9,2
tr_c_gene,8,6,2
tr_d_gene,6,5,1
ribozyme,9,8,1
srna,6,5,1
translated_processed_pseudogene,2,2,0
vault_rna,4,4,0
mt_rrna,2,2,0
artifact,19,19,0
tr_j_pseudogene,4,4,0
mt_trna,22,22,0
ig_pseudogene,1,1,0
