gene_id	mean_tpm	decile	is_switching
ENSG00000000457	2.215	4	True
ENSG00000001461	7.015	6	True
ENSG00000002016	0.81	2	True
ENSG00000002330	0.825	2	True
ENSG00000003096	1.42	3	True
ENSG00000003147	4.465	5	True
ENSG00000003249	0.5549999999999999	1	True
ENSG00000003393	2.97	4	True
ENSG00000004059	9.635	6	True
ENSG00000004399	0.16	0	True
ENSG00000004660	0.345	1	True
ENSG00000004975	0.9750000000000001	2	True
ENSG00000005059	0.915	2	True
ENSG00000005238	0.305	1	True
ENSG00000005249	41.974999999999994	8	True
ENSG00000005436	7.005000000000001	6	True
ENSG00000005448	7.595000000000001	6	True
ENSG00000005469	3.0549999999999997	4	True
ENSG00000005801	24.875	8	True
ENSG00000005812	2.44	4	True
ENSG00000006016	1.3199999999999998	3	True
ENSG00000006042	80.425	9	True
ENSG00000006062	0.265	1	True
ENSG00000006194	3.12	4	True
ENSG00000006327	0.275	1	True
ENSG00000006459	0.685	2	True
ENSG00000006468	4.255	5	True
ENSG00000006638	1.65	3	True
ENSG00000006704	7.305	6	True
ENSG00000006747	2.77	4	True
ENSG00000006837	2.375	4	True
ENSG00000007038	9.425	6	True
ENSG00000007255	0.31999999999999995	1	True
ENSG00000007372	0.925	2	True
ENSG00000007545	0.275	1	True
ENSG00000007866	0.6000000000000001	2	True
ENSG00000007968	2.605	4	True
ENSG00000008256	0.18	0	True
ENSG00000008282	137.96	9	True
ENSG00000008300	0.125	0	True
ENSG00000008324	235.425	9	True
ENSG00000008382	0.74	2	True
ENSG00000008513	1.085	2	True
ENSG00000008710	0.10500000000000001	0	True
ENSG00000008838	4.475	5	True
ENSG00000008952	102.73	9	True
ENSG00000009307	108.97999999999999	9	True
ENSG00000009780	10.315000000000001	6	True
ENSG00000010278	0.45499999999999996	1	True
ENSG00000010539	3.895	5	True
ENSG00000010626	1.58	3	True
ENSG00000010704	0.225	0	True
ENSG00000010810	2.5300000000000002	4	True
ENSG00000011052	17.64	7	True
ENSG00000011258	1.8299999999999998	3	True
ENSG00000011422	5.65	5	True
ENSG00000011523	0.995	2	True
ENSG00000012174	2.9299999999999997	4	True
ENSG00000012822	2.26	4	True
ENSG00000012983	3.825	5	True
ENSG00000013288	0.20500000000000002	0	True
ENSG00000013392	1.685	3	True
ENSG00000013563	0.495	1	True
ENSG00000013583	1.17	3	True
ENSG00000014123	13.760000000000002	7	True
ENSG00000015133	0.385	1	True
ENSG00000015285	0.235	0	True
ENSG00000015532	0.495	1	True
ENSG00000017427	10.54	6	True
ENSG00000019144	2.1900000000000004	4	True
ENSG00000020577	1.0150000000000001	2	True
ENSG00000021355	42.73	8	True
ENSG00000022567	0.56	2	True
ENSG00000022976	0.43499999999999994	1	True
ENSG00000023041	13.754999999999999	7	True
ENSG00000023516	2.31	4	True
ENSG00000023572	9.785	6	True
ENSG00000023608	4.395	5	True
ENSG00000023697	11.135	6	True
ENSG00000023902	0.245	0	True
ENSG00000024862	15.52	7	True
ENSG00000025434	7.140000000000001	6	True
ENSG00000026508	1.0	2	True
ENSG00000026652	1.865	3	True
ENSG00000026950	0.505	1	True
ENSG00000027001	1.4449999999999998	3	True
ENSG00000027075	0.585	2	True
ENSG00000027697	29.535	8	True
ENSG00000027847	0.29000000000000004	1	True
ENSG00000031691	30.06	8	True
ENSG00000032219	1.725	3	True
ENSG00000032742	5.495	5	True
ENSG00000033011	0.885	2	True
ENSG00000033170	4.3100000000000005	5	True
ENSG00000033327	3.7	4	True
ENSG00000034152	0.115	0	True
ENSG00000034533	5.915	5	True
ENSG00000035115	3.33	4	True
ENSG00000035687	7.035	6	True
