gene	gene_name	gate_type_GM12878	gate_type_K562	functional_category	cosmic_census_flag
SCYL3	SCYL3	SIMPLE_AND	INCONSISTENT	unknown	no
FGR	FGR	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
NIPAL3	NIPAL3	SIMPLE_OR	SIMPLE_AND	unknown	no
SEMA3F	SEMA3F	BIVALENT	INCONSISTENT	unknown	no
RAD52	RAD52	BIVALENT	SIMPLE_AND	unknown	no
BAD	BAD	SIMPLE_AND	INCONSISTENT	unknown	no
KLHL13	KLHL13	SIMPLE_OR	INCONSISTENT	unknown	no
CYP26B1	CYP26B1	REPRESSED	BIVALENT	metabolic	no
ICA1	ICA1	BIVALENT	INCONSISTENT	unknown	no
DBNDD1	DBNDD1	BIVALENT	INCONSISTENT	unknown	no
ALS2	ALS2	SIMPLE_AND	INCONSISTENT	unknown	no
ARF5	ARF5	SIMPLE_AND	COMPLEX	unknown	no
PLXND1	PLXND1	BIVALENT	SIMPLE_AND	unknown	no
CD38	CD38	SIMPLE_AND	BIVALENT	unknown	no
CAMKK1	CAMKK1	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
ARHGAP33	ARHGAP33	SIMPLE_AND	INCONSISTENT	unknown	no
PDK4	PDK4	BIVALENT	REPRESSED	metabolic	no
DVL2	DVL2	COMPLEX	INCONSISTENT	unknown	no
MCUB	MCUB	SIMPLE_AND	INCONSISTENT	unknown	no
MEOX1	MEOX1	SIMPLE_AND	REPRESSED	unknown	no
ATOSB	ATOSB	SIMPLE_AND	INCONSISTENT	unknown	no
PRKAR2B	PRKAR2B	BIVALENT	SIMPLE_AND	kinase/signaling	no
TSPOAP1	TSPOAP1	SIMPLE_AND	INCONSISTENT	unknown	no
GCFC2	GCFC2	SIMPLE_AND	INCONSISTENT	unknown	no
WDR54	WDR54	SIMPLE_AND	SIMPLE_OR	unknown	no
CROT	CROT	SIMPLE_AND	INCONSISTENT	unknown	no
SOX8	SOX8	REPRESSED	INCONSISTENT	transcription factor	no
ZNF195	ZNF195	COMPLEX	SIMPLE_AND	transcription factor	no
FBXL3	FBXL3	SIMPLE_AND	INCONSISTENT	unknown	no
PDK2	PDK2	SIMPLE_AND	INCONSISTENT	metabolic	no
ITGA3	ITGA3	SIMPLE_AND	BIVALENT	structural/other	no
CRLF1	CRLF1	REPRESSED	BIVALENT	unknown	no
TMEM98	TMEM98	REPRESSED	SIMPLE_AND	unknown	no
YBX2	YBX2	BIVALENT	INCONSISTENT	unknown	no
MAP3K14	MAP3K14	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
TMEM132A	TMEM132A	SIMPLE_OR	BIVALENT	unknown	no
ZNF263	ZNF263	COMPLEX	SIMPLE_AND	transcription factor	no
SPATA20	SPATA20	SIMPLE_OR	INCONSISTENT	unknown	no
TNFRSF12A	TNFRSF12A	INCONSISTENT	SIMPLE_AND	unknown	no
MAP3K9	MAP3K9	SIMPLE_AND	INCONSISTENT	kinase/signaling	no
KDM7A	KDM7A	BIVALENT	SIMPLE_AND	chromatin regulator	no
ETV1	ETV1	BIVALENT	INCONSISTENT	transcription factor	yes
TTC22	TTC22	SIMPLE_AND	REPRESSED	unknown	no
USH1C	USH1C	REPRESSED	BIVALENT	unknown	no
TBXA2R	TBXA2R	INCONSISTENT	SIMPLE_AND	unknown	no
GTF2IRD1	GTF2IRD1	SIMPLE_OR	SIMPLE_AND	unknown	no
SCIN	SCIN	REPRESSED	INCONSISTENT	unknown	no
CDKL3	CDKL3	SIMPLE_AND	INCONSISTENT	unknown	no
PRSS21	PRSS21	INCONSISTENT	SIMPLE_AND	unknown	no
CEACAM21	CEACAM21	SIMPLE_AND	INCONSISTENT	unknown	no
TRAPPC6A	TRAPPC6A	SIMPLE_AND	INCONSISTENT	unknown	no
CEACAM7	CEACAM7	REPRESSED	INCONSISTENT	unknown	no
PAX6	PAX6	REPRESSED	INCONSISTENT	transcription factor	no
CACNA2D2	CACNA2D2	REPRESSED	INCONSISTENT	unknown	no
BAIAP3	BAIAP3	BIVALENT	INCONSISTENT	unknown	no
CRAMP1	CRAMP1	BIVALENT	INCONSISTENT	unknown	no
TEAD3	TEAD3	BIVALENT	INCONSISTENT	transcription factor	no
E2F2	E2F2	SIMPLE_AND	INCONSISTENT	transcription factor	no
CDKL5	CDKL5	BIVALENT	INCONSISTENT	unknown	no
DLEC1	DLEC1	BIVALENT	REPRESSED	unknown	no
CYTH3	CYTH3	SIMPLE_OR	INCONSISTENT	unknown	no
ADAM22	ADAM22	SIMPLE_AND	INCONSISTENT	unknown	no
SYPL1	SYPL1	SIMPLE_AND	COMPLEX	unknown	no
CELSR3	CELSR3	BIVALENT	INCONSISTENT	unknown	no
AASS	AASS	SIMPLE_OR	INCONSISTENT	unknown	no
PLEKHG6	PLEKHG6	SIMPLE_AND	INCONSISTENT	unknown	no
SS18L2	SS18L2	SIMPLE_AND	INCONSISTENT	unknown	no
MPND	MPND	SIMPLE_AND	INCONSISTENT	unknown	no
ST3GAL1	ST3GAL1	BIVALENT	INCONSISTENT	unknown	no
PKD1	PKD1	SIMPLE_AND	SIMPLE_OR	unknown	no
MED24	MED24	BIVALENT	SIMPLE_AND	unknown	no
SEC62	SEC62	COMPLEX	SIMPLE_AND	unknown	no
CSDE1	CSDE1	SIMPLE_AND	COMPLEX	unknown	no
FAM76A	FAM76A	SIMPLE_AND	INCONSISTENT	unknown	no
ETV7	ETV7	INCONSISTENT	BIVALENT	transcription factor	no
CD9	CD9	BIVALENT	INCONSISTENT	unknown	no
FUZ	FUZ	SIMPLE_AND	INCONSISTENT	unknown	no
ZNF200	ZNF200	SIMPLE_AND	INCONSISTENT	transcription factor	no
LRRC23	LRRC23	SIMPLE_AND	INCONSISTENT	unknown	no
HFE	HFE	SIMPLE_AND	INCONSISTENT	unknown	no
FYN	FYN	SIMPLE_AND	BIVALENT	kinase/signaling	no
NME1-NME2	NME1-NME2	COMPLEX	SIMPLE_AND	unknown	no
TSPAN9	TSPAN9	BIVALENT	INCONSISTENT	unknown	no
MBTD1	MBTD1	SIMPLE_AND	INCONSISTENT	unknown	no
DPF1	DPF1	BIVALENT	INCONSISTENT	unknown	no
SYT7	SYT7	REPRESSED	BIVALENT	unknown	no
PLAUR	PLAUR	SIMPLE_AND	INCONSISTENT	unknown	no
WIZ	WIZ	SIMPLE_OR	INCONSISTENT	unknown	no
CEP68	CEP68	SIMPLE_AND	INCONSISTENT	unknown	no
ZBTB32	ZBTB32	SIMPLE_AND	INCONSISTENT	transcription factor	no
MBTPS2	MBTPS2	SIMPLE_AND	INCONSISTENT	unknown	no
ALOX5	ALOX5	SIMPLE_AND	INCONSISTENT	unknown	no
CALCOCO1	CALCOCO1	SIMPLE_AND	INCONSISTENT	unknown	no
MAP4K5	MAP4K5	BIVALENT	INCONSISTENT	kinase/signaling	no
EHD3	EHD3	SIMPLE_OR	REPRESSED	unknown	no
MAN2B2	MAN2B2	SIMPLE_AND	INCONSISTENT	unknown	no
MVP	MVP	SIMPLE_AND	INCONSISTENT	unknown	no
RWDD2A	RWDD2A	SIMPLE_AND	INCONSISTENT	unknown	no
DNASE1L1	DNASE1L1	SIMPLE_AND	INCONSISTENT	unknown	no
HEBP1	HEBP1	BIVALENT	INCONSISTENT	unknown	no
GPRC5A	GPRC5A	REPRESSED	BIVALENT	unknown	no
UFL1	UFL1	SIMPLE_AND	INCONSISTENT	unknown	no
CCDC88C	CCDC88C	SIMPLE_AND	INCONSISTENT	unknown	no
WAS	WAS	SIMPLE_AND	INCONSISTENT	unknown	yes
XYLT2	XYLT2	SIMPLE_AND	INCONSISTENT	unknown	no
CHDH	CHDH	SIMPLE_AND	BIVALENT	unknown	no
IGF1	IGF1	COMPLEX	INCONSISTENT	unknown	no
PHLDB1	PHLDB1	BIVALENT	SIMPLE_AND	unknown	no
SAMD4A	SAMD4A	SIMPLE_OR	INCONSISTENT	unknown	no
PLEKHB1	PLEKHB1	SIMPLE_OR	BIVALENT	unknown	no
SERPINB1	SERPINB1	BIVALENT	SIMPLE_AND	unknown	no
OSBPL5	OSBPL5	REPRESSED	INCONSISTENT	unknown	no
SLC45A4	SLC45A4	BIVALENT	SIMPLE_AND	metabolic	no
ZNF839	ZNF839	SIMPLE_AND	INCONSISTENT	transcription factor	no
ZDHHC6	ZDHHC6	SIMPLE_AND	INCONSISTENT	unknown	no
BIRC3	BIRC3	COMPLEX	INCONSISTENT	unknown	yes
AKAP11	AKAP11	SIMPLE_AND	COMPLEX	unknown	no
GLRX2	GLRX2	SIMPLE_AND	INCONSISTENT	unknown	no
SNAPC1	SNAPC1	SIMPLE_AND	INCONSISTENT	unknown	no
DERA	DERA	SIMPLE_AND	INCONSISTENT	unknown	no
PLEKHO1	PLEKHO1	SIMPLE_AND	INCONSISTENT	unknown	no
CCDC28A	CCDC28A	SIMPLE_AND	INCONSISTENT	unknown	no
RRAGD	RRAGD	SIMPLE_AND	BIVALENT	unknown	no
NR1H3	NR1H3	COMPLEX	SIMPLE_AND	unknown	no
RTEL1-TNFRSF6B	RTEL1-TNFRSF6B	SIMPLE_AND	INCONSISTENT	unknown	no
CD44	CD44	SIMPLE_AND	BIVALENT	unknown	no
KCNG1	KCNG1	REPRESSED	BIVALENT	unknown	no
AGPAT4	AGPAT4	SIMPLE_OR	INCONSISTENT	unknown	no
BTN3A1	BTN3A1	SIMPLE_AND	INCONSISTENT	unknown	no
