gene_id	gene_name	GM12878_gate_type	K562_gate_type	switch_category
ENSG00000000419	DPM1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000000457	SCYL3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000000938	FGR	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000001036	FUCA2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000001167	NFYA	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000001460	STPG1	INCONSISTENT	INCONSISTENT	no change
ENSG00000001461	NIPAL3	SIMPLE_OR	SIMPLE_AND	SIMPLE_OR->SIMPLE_AND
ENSG00000001497	LAS1L	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000001617	SEMA3F	BIVALENT	INCONSISTENT	complex->complex
ENSG00000001629	ANKIB1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000001630	CYP51A1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000001631	KRIT1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000002016	RAD52	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000002330	BAD	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000002549	LAP3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000002586	CD99	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000002746	HECW1	BIVALENT	BIVALENT	no change
ENSG00000002822	MAD1L1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000002834	LASP1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000002919	SNX11	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000002933	TMEM176A	REPRESSED	REPRESSED	no change
ENSG00000003056	M6PR	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000003096	KLHL13	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000003137	CYP26B1	REPRESSED	BIVALENT	complex->complex
ENSG00000003147	ICA1	BIVALENT	INCONSISTENT	complex->complex
ENSG00000003249	DBNDD1	BIVALENT	INCONSISTENT	complex->complex
ENSG00000003393	ALS2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000003400	CASP10	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000003402	CFLAR	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000003509	NDUFAF7	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000003756	RBM5	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004059	ARF5	SIMPLE_AND	COMPLEX	simple->complex
ENSG00000004142	POLDIP2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004399	PLXND1	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000004455	AK2	BIVALENT	BIVALENT	no change
ENSG00000004468	CD38	SIMPLE_AND	BIVALENT	simple->complex
ENSG00000004478	FKBP4	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004487	KDM1A	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004534	RBM6	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004660	CAMKK1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000004700	RECQL	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004766	VPS50	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004776	HSPB6	INCONSISTENT	INCONSISTENT	no change
ENSG00000004777	ARHGAP33	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000004779	NDUFAB1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004799	PDK4	BIVALENT	REPRESSED	complex->complex
ENSG00000004809	SLC22A16	REPRESSED	REPRESSED	no change
ENSG00000004864	SLC25A13	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004866	ST7	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004897	CDC27	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004961	HCCS	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000004975	DVL2	COMPLEX	INCONSISTENT	complex->complex
ENSG00000005007	UPF1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005022	SLC25A5	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005059	MCUB	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000005073	HOXA11	BIVALENT	BIVALENT	no change
ENSG00000005075	POLR2J	SIMPLE_OR	SIMPLE_OR	no change
ENSG00000005100	DHX33	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005102	MEOX1	SIMPLE_AND	REPRESSED	simple->complex
ENSG00000005156	LIG3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005175	RPAP3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005189	REXO5	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005194	CIAPIN1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005206	SPPL2B	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005238	ATOSB	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000005249	PRKAR2B	BIVALENT	SIMPLE_AND	complex->simple
ENSG00000005302	MSL3	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005339	CREBBP	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005379	TSPOAP1	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000005436	GCFC2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000005448	WDR54	SIMPLE_AND	SIMPLE_OR	SIMPLE_AND->SIMPLE_OR
ENSG00000005469	CROT	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000005486	RHBDD2	SIMPLE_OR	SIMPLE_OR	no change
ENSG00000005513	SOX8	REPRESSED	INCONSISTENT	complex->complex
ENSG00000005700	IBTK	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005801	ZNF195	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000005810	MYCBP2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005812	FBXL3	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000005882	PDK2	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000005884	ITGA3	SIMPLE_AND	BIVALENT	simple->complex
ENSG00000005889	ZFX	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000005893	LAMP2	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000006007	GDE1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000006015	REX1BD	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000006016	CRLF1	REPRESSED	BIVALENT	complex->complex
ENSG00000006025	OSBPL7	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000006042	TMEM98	REPRESSED	SIMPLE_AND	complex->simple
ENSG00000006047	YBX2	BIVALENT	INCONSISTENT	complex->complex
ENSG00000006062	MAP3K14	SIMPLE_AND	INCONSISTENT	simple->complex
ENSG00000006118	TMEM132A	SIMPLE_OR	BIVALENT	simple->complex
ENSG00000006125	AP2B1	SIMPLE_AND	SIMPLE_AND	no change
ENSG00000006128	TAC1	REPRESSED	REPRESSED	no change
ENSG00000006194	ZNF263	COMPLEX	SIMPLE_AND	complex->simple
ENSG00000006282	SPATA20	SIMPLE_OR	INCONSISTENT	simple->complex
ENSG00000006283	CACNA1G	BIVALENT	BIVALENT	no change
ENSG00000006327	TNFRSF12A	INCONSISTENT	SIMPLE_AND	complex->simple
ENSG00000006377	DLX6	REPRESSED	REPRESSED	no change
