gene_id	GM12878_gate_type	GM12878_gene_name	K562_gate_type	gene_name
ENSG00000000003		TSPAN6		TSPAN6
ENSG00000000005		TNMD		TNMD
ENSG00000000460		C1orf112		C1orf112
ENSG00000000971		CFH	SIMPLE_AND	CFH
ENSG00000001084		GCLC	INCONSISTENT	GCLC
ENSG00000001561	SIMPLE_AND	ENPP4		ENPP4
ENSG00000001626		CFTR	REPRESSED	CFTR
ENSG00000002079		MYH16	REPRESSED	MYH16
ENSG00000002587	BIVALENT	HS3ST1		HS3ST1
ENSG00000002726		AOC1	INCONSISTENT	AOC1
ENSG00000002745		WNT16		WNT16
ENSG00000003436		TFPI		TFPI
ENSG00000003987		MTMR7		MTMR7
ENSG00000003989		SLC7A2		SLC7A2
ENSG00000004139		SARM1		SARM1
ENSG00000004838	SIMPLE_OR	ZMYND10		ZMYND10
ENSG00000004846		ABCB5	REPRESSED	ABCB5
ENSG00000004848	REPRESSED	ARX		ARX
ENSG00000004939		SLC4A1	INCONSISTENT	SLC4A1
ENSG00000004948		CALCR	REPRESSED	CALCR
ENSG00000005001		PRSS22		PRSS22
ENSG00000005020	REPRESSED	SKAP2		SKAP2
ENSG00000005108	REPRESSED	THSD7A		THSD7A
ENSG00000005187		ACSM3		ACSM3
ENSG00000005243	INCONSISTENT	COPZ2		COPZ2
ENSG00000005381		MPO		MPO
ENSG00000005421		PON1		PON1
ENSG00000005471		ABCB4		ABCB4
ENSG00000005483	SIMPLE_OR	KMT2E		KMT2E
ENSG00000005844	SIMPLE_AND	ITGAL		ITGAL
ENSG00000005961		ITGA2B	INCONSISTENT	ITGA2B
ENSG00000005981		ASB4		ASB4
ENSG00000006059		KRT33A		KRT33A
ENSG00000006071	REPRESSED	ABCC8		ABCC8
ENSG00000006116	REPRESSED	CACNG3		CACNG3
ENSG00000006210	SIMPLE_OR	CX3CL1		CX3CL1
ENSG00000006534		ALDH3B1	INCONSISTENT	ALDH3B1
ENSG00000006606		CCL26		CCL26
ENSG00000006652		IFRD1	SIMPLE_OR	IFRD1
ENSG00000006659	INCONSISTENT	LGALS14		LGALS14
ENSG00000006715		VPS41	REPRESSED	VPS41
ENSG00000006756		ARSD		ARSD
ENSG00000006788		MYH13		MYH13
ENSG00000007171		NOS2		NOS2
ENSG00000007174		DNAH9	INCONSISTENT	DNAH9
ENSG00000007216		SLC13A2	REPRESSED	SLC13A2
ENSG00000007237	INCONSISTENT	GAS7		GAS7
ENSG00000007312	SIMPLE_AND	CD79B		CD79B
ENSG00000007314		SCN4A		SCN4A
ENSG00000007350		TKTL1		TKTL1
ENSG00000007908		SELE		SELE
ENSG00000007933		FMO3		FMO3
ENSG00000007952		NOX1		NOX1
ENSG00000008118		CAMK1G	REPRESSED	CAMK1G
ENSG00000008196	REPRESSED	TFAP2B		TFAP2B
ENSG00000008197	REPRESSED	TFAP2D		TFAP2D
ENSG00000008438		PGLYRP1		PGLYRP1
ENSG00000008517	SIMPLE_AND	IL32		IL32
ENSG00000008735		MAPK8IP2	INCONSISTENT	MAPK8IP2
ENSG00000008853		RHOBTB2	REPRESSED	RHOBTB2
ENSG00000009694		TENM1		TENM1
ENSG00000009724		MASP2		MASP2
ENSG00000009765		IYD		IYD
ENSG00000009790	SIMPLE_AND	TRAF3IP3		TRAF3IP3
ENSG00000009950		MLXIPL	INCONSISTENT	MLXIPL
ENSG00000010219		DYRK4	INCONSISTENT	DYRK4
ENSG00000010282		HHATL	REPRESSED	HHATL
ENSG00000010295	SIMPLE_AND	IFFO1		IFFO1
ENSG00000010319		SEMA3G		SEMA3G
ENSG00000010327		STAB1		STAB1
ENSG00000010379		SLC6A13	INCONSISTENT	SLC6A13
ENSG00000010404		IDS		IDS
ENSG00000010438	REPRESSED	PRSS3		PRSS3
ENSG00000010610		CD4		CD4
ENSG00000010818		HIVEP2		HIVEP2
ENSG00000010932	REPRESSED	FMO1		FMO1
ENSG00000011083		SLC6A7	REPRESSED	SLC6A7
ENSG00000011201	REPRESSED	ANOS1		ANOS1
ENSG00000011465		DCN		DCN
ENSG00000011677		GABRA3		GABRA3
ENSG00000012124		CD22	INCONSISTENT	CD22
ENSG00000012171	REPRESSED	SEMA3B		SEMA3B
ENSG00000012223	REPRESSED	LTF		LTF
ENSG00000012232		EXTL3		EXTL3
ENSG00000012504		NR1H4		NR1H4
ENSG00000012817		KDM5D		KDM5D
ENSG00000013293	REPRESSED	SLC7A14		SLC7A14
ENSG00000013297	REPRESSED	CLDN11		CLDN11
ENSG00000013523		ANGEL1	REPRESSED	ANGEL1
ENSG00000013561		RNF14		RNF14
ENSG00000013619		MAMLD1	INCONSISTENT	MAMLD1
ENSG00000013725		CD6		CD6
ENSG00000014257		ACP3		ACP3
ENSG00000014914		MTMR11	INCONSISTENT	MTMR11
ENSG00000015171		ZMYND11	REPRESSED	ZMYND11
ENSG00000015413		DPEP1		DPEP1
ENSG00000015520		NPC1L1		NPC1L1
ENSG00000015568		RGPD5		RGPD5
ENSG00000015592		STMN4		STMN4
ENSG00000016082	REPRESSED	ISL1		ISL1
ENSG00000016402	BIVALENT	IL20RA		IL20RA
ENSG00000016490		CLCA1		CLCA1
ENSG00000016602		CLCA4		CLCA4
ENSG00000018236	REPRESSED	CNTN1		CNTN1
ENSG00000018280		SLC11A1		SLC11A1
ENSG00000018408		WWTR1		WWTR1
ENSG00000018607		ZNF285CP		ZNF285CP
