gene_id	gene_name	gate_type_GM12878	gate_type_K562	switch_direction	GM12878_expression	K562_expression	replicate_check
ENSG00000000457	SCYL3	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000000938	FGR	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000001461	NIPAL3	SIMPLE_OR	SIMPLE_AND	OR→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000001617	SEMA3F	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000002016	RAD52	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000002330	BAD	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000003096	KLHL13	SIMPLE_OR	INCONSISTENT	OR→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000003137	CYP26B1	REPRESSED	BIVALENT	REP→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000003147	ICA1	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000003249	DBNDD1	BIVALENT	INCONSISTENT	BIV→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000003393	ALS2	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000004059	ARF5	SIMPLE_AND	COMPLEX	AND→CPX			NOT_EVALUATED_consensus_calls_only
ENSG00000004399	PLXND1	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000004468	CD38	SIMPLE_AND	BIVALENT	AND→BIV			NOT_EVALUATED_consensus_calls_only
ENSG00000004660	CAMKK1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000004777	ARHGAP33	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000004799	PDK4	BIVALENT	REPRESSED	BIV→REP			NOT_EVALUATED_consensus_calls_only
ENSG00000004975	DVL2	COMPLEX	INCONSISTENT	CPX→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005059	MCUB	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005102	MEOX1	SIMPLE_AND	REPRESSED	AND→REP			NOT_EVALUATED_consensus_calls_only
ENSG00000005238	ATOSB	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005249	PRKAR2B	BIVALENT	SIMPLE_AND	BIV→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000005379	TSPOAP1	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005436	GCFC2	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005448	WDR54	SIMPLE_AND	SIMPLE_OR	AND→OR			NOT_EVALUATED_consensus_calls_only
ENSG00000005469	CROT	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005513	SOX8	REPRESSED	INCONSISTENT	REP→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005801	ZNF195	COMPLEX	SIMPLE_AND	CPX→AND			NOT_EVALUATED_consensus_calls_only
ENSG00000005812	FBXL3	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
ENSG00000005882	PDK2	SIMPLE_AND	INCONSISTENT	AND→INC			NOT_EVALUATED_consensus_calls_only
