gene_symbol,chr,start,end,strand,biotype,gene_id
,1,5301928,5307394,-1,lncRNA,ENSG00000284616
,1,5492978,5494674,1,lncRNA,ENSG00000260972
EEF1DP6,1,4175528,4175899,-1,processed_pseudogene,ENSG00000229280
LINC01646,1,4571481,4594016,1,lncRNA,ENSG00000232596
LINC02782,1,5086459,5090899,-1,lncRNA,ENSG00000231510
,1,3306636,3310096,-1,lncRNA,ENSG00000272235
,1,4479131,4484375,-1,lncRNA,ENSG00000284694
,1,2492300,2493258,-1,lncRNA,ENSG00000224387
LINC02781,1,4973381,4981568,1,lncRNA,ENSG00000284674
MTCYBP45,1,11425257,11425821,-1,processed_pseudogene,ENSG00000224338
,1,10612222,10616452,-1,lncRNA,ENSG00000287727
MFFP1,1,15191828,15192845,-1,processed_pseudogene,ENSG00000215720
,1,2566410,2569888,1,TEC,ENSG00000225931
,1,2493437,2494479,-1,lncRNA,ENSG00000229393
,1,4730211,4734992,-1,lncRNA,ENSG00000287586
,1,4551735,4552145,-1,lncRNA,ENSG00000227169
,1,5554747,5554881,1,unprocessed_pseudogene,ENSG00000283356
,1,18385829,18388514,1,lncRNA,ENSG00000225387
RPL10P17,1,12220794,12221109,-1,processed_pseudogene,ENSG00000225196
,1,22364630,22366482,-1,TEC,ENSG00000279625
,1,11500803,11502016,-1,lncRNA,ENSG00000285833
,1,18109389,18115861,1,TEC,ENSG00000280222
,1,2768091,2784733,1,lncRNA,ENSG00000285945
,1,5480787,5482028,-1,lncRNA,ENSG00000284666
PPIAP34,1,22322840,22323331,-1,processed_pseudogene,ENSG00000234397
IFITM3P7,1,25125053,25125454,-1,processed_pseudogene,ENSG00000233419
,1,29488193,29496893,-1,unprocessed_pseudogene,ENSG00000225011
,1,29755175,29790597,1,lncRNA,ENSG00000284676
,1,29904865,29905357,-1,processed_pseudogene,ENSG00000270927
LINC01756,1,29329620,29350114,-1,lncRNA,ENSG00000230523
,1,2811850,2812692,-1,lncRNA,ENSG00000233234
KAZN,1,13892792,15118043,1,protein_coding,ENSG00000189337
,1,2773603,2776473,1,lncRNA,ENSG00000283259
TMEM51-AS1,1,15111815,15153618,-1,lncRNA,ENSG00000175147
FTLP18,1,36630335,36630857,1,processed_pseudogene,ENSG00000230214
,1,2363061,2363628,-1,lncRNA,ENSG00000272420
LINC02810,1,17717625,17749978,1,lncRNA,ENSG00000236648
FTH1P1,1,37544763,37545294,1,processed_pseudogene,ENSG00000232273
,1,42335386,42338376,-1,lncRNA,ENSG00000227527
,1,34850694,34851555,1,lncRNA,ENSG00000230163
HSPA5P1,1,38708931,38710890,1,processed_pseudogene,ENSG00000215895
,1,38864501,38881617,-1,protein_coding,ENSG00000274944
CASZ1-AS1,1,10639241,10654333,1,lncRNA,ENSG00000272078
RPS29P6,1,37330852,37330996,1,processed_pseudogene,ENSG00000230451
,1,14221887,14304445,-1,lncRNA,ENSG00000231606
,1,32465057,32600792,1,protein_coding,ENSG00000254553
,1,18015712,18045612,1,lncRNA,ENSG00000284653
RPS27P9,1,37556247,37556499,1,processed_pseudogene,ENSG00000237749
PADI6,1,17372196,17401699,1,protein_coding,ENSG00000276747
LINC01654,1,18065657,18074412,1,lncRNA,ENSG00000261781
SHMT1P1,1,43850300,43851611,-1,processed_pseudogene,ENSG00000224751
PHB1P12,1,50780340,50781150,1,processed_pseudogene,ENSG00000230585
,1,43650149,43931014,1,protein_coding,ENSG00000284989
,1,2814432,2814998,-1,lncRNA,ENSG00000231630
,1,34761426,34788097,-1,lncRNA,ENSG00000255811
FCF1P6,1,50405430,50406024,-1,processed_pseudogene,ENSG00000225671
RPL6P1,1,45781277,45781957,1,processed_pseudogene,ENSG00000236111
,1,53209783,53213775,-1,lncRNA,ENSG00000236723
TMA16P2,1,45846994,45847594,-1,processed_pseudogene,ENSG00000232467
MRPS6P2,1,50846468,50846837,1,processed_pseudogene,ENSG00000237130
CLSPN-AS1,1,35739389,35743576,1,lncRNA,ENSG00000232335
,1,53304536,53307462,1,lncRNA,ENSG00000232762
,1,56173433,56524495,-1,protein_coding,ENSG00000284686
CZIB-DT,1,53220663,53224253,1,lncRNA,ENSG00000259818
,1,62896009,62901639,1,lncRNA,ENSG00000234318
,1,63024207,63025658,1,lncRNA,ENSG00000227485
LAMTOR5P1,1,62038842,62039111,1,processed_pseudogene,ENSG00000236646
RPS13P2,1,52772194,52772648,-1,processed_pseudogene,ENSG00000228929
,1,65576129,65578380,-1,processed_pseudogene,ENSG00000224570
RPL23AP85,1,56585612,56586242,-1,processed_pseudogene,ENSG00000224980
,1,62607766,62609584,1,TEC,ENSG00000278967
GTF2F2P2,1,40593633,40594353,-1,processed_pseudogene,ENSG00000233910
,1,34640157,34685732,-1,lncRNA,ENSG00000287703
KLF18,1,44137821,44141631,-1,protein_coding,ENSG00000283039
DNAJC6-AS1,1,65279456,65306521,-1,lncRNA,ENSG00000229294
GAPDHP51,1,51707138,51708137,-1,processed_pseudogene,ENSG00000236973
,1,53180921,53186900,1,unprocessed_pseudogene,ENSG00000277397
