gene_id	gate_type	complexity_score
ENSG00000160072	SIMPLE_AND	1
ENSG00000279928	INCONSISTENT	1
ENSG00000228037	REPRESSED	1
ENSG00000142611	NULL	-1
ENSG00000284616	NULL	-1
ENSG00000157911	INCONSISTENT	2
ENSG00000269896	REPRESSED	1
ENSG00000228463	NULL	-1
ENSG00000260972	NULL	-1
ENSG00000224340	INCONSISTENT	1
ENSG00000226374	REPRESSED	1
ENSG00000229280	NULL	-1
ENSG00000142655	SIMPLE_AND	1
ENSG00000232596	NULL	-1
ENSG00000235054	NULL	-1
ENSG00000231510	NULL	-1
ENSG00000149527	REPRESSED	1
ENSG00000284739	NULL	-1
ENSG00000171621	BIVALENT	4
ENSG00000272235	NULL	-1
ENSG00000284694	NULL	-1
ENSG00000224387	REPRESSED	1
ENSG00000142583	NULL	-1
ENSG00000284674	NULL	-1
ENSG00000224338	REPRESSED	1
ENSG00000116786	SIMPLE_AND	1
ENSG00000284703	NULL	-1
ENSG00000226457	INCONSISTENT	2
ENSG00000173614	INCONSISTENT	2
ENSG00000215720	REPRESSED	1
ENSG00000241326	NULL	-1
ENSG00000233623	NULL	-1
ENSG00000162592	INCONSISTENT	2
ENSG00000204624	BIVALENT	5
ENSG00000142606	REPRESSED	1
ENSG00000225931	REPRESSED	1
ENSG00000171729	BIVALENT	4
ENSG00000279457	NULL	-1
ENSG00000229393	REPRESSED	1
ENSG00000037637	SIMPLE_AND	1
ENSG00000159423	SIMPLE_AND	1
ENSG00000227169	NULL	-1
ENSG00000283356	NULL	-1
ENSG00000011021	SIMPLE_AND	1
ENSG00000142615	NULL	-1
ENSG00000215704	NULL	-1
ENSG00000157916	SIMPLE_AND	1
ENSG00000157881	SIMPLE_AND	1
ENSG00000238290	BIVALENT	4
ENSG00000225387	NULL	-1
ENSG00000048707	SIMPLE_AND	1
ENSG00000225196	INCONSISTENT	1
ENSG00000162444	REPRESSED	1
ENSG00000279625	NULL	-1
ENSG00000180758	INCONSISTENT	1
ENSG00000184677	SIMPLE_AND	1
ENSG00000224621	NULL	-1
ENSG00000285833	NULL	-1
ENSG00000131697	SIMPLE_AND	1
ENSG00000284692	NULL	-1
ENSG00000284745	NULL	-1
ENSG00000280222	NULL	-1
ENSG00000285945	NULL	-1
ENSG00000197921	BIVALENT	4
ENSG00000233755	REPRESSED	1
ENSG00000233929	NULL	-1
ENSG00000271742	INCONSISTENT	2
ENSG00000234166	NULL	-1
ENSG00000235282	NULL	-1
ENSG00000055070	SIMPLE_AND	1
ENSG00000175087	SIMPLE_AND	1
ENSG00000157191	SIMPLE_AND	1
ENSG00000230035	REPRESSED	1
ENSG00000225643	REPRESSED	1
ENSG00000284666	NULL	-1
ENSG00000228943	NULL	-1
ENSG00000234397	REPRESSED	1
ENSG00000284309	INCONSISTENT	1
ENSG00000162511	SIMPLE_AND	1
ENSG00000158014	INCONSISTENT	1
ENSG00000204138	SIMPLE_AND	1
ENSG00000233419	NULL	-1
ENSG00000235263	REPRESSED	1
ENSG00000228176	NULL	-1
ENSG00000231251	NULL	-1
ENSG00000142675	NULL	-1
ENSG00000197245	INCONSISTENT	1
ENSG00000130772	SIMPLE_AND	1
ENSG00000215899	NULL	-1
ENSG00000271398	INCONSISTENT	2
ENSG00000225011	NULL	-1
ENSG00000235069	NULL	-1
ENSG00000284676	NULL	-1
ENSG00000237058	REPRESSED	1
ENSG00000233399	NULL	-1
ENSG00000090020	NULL	-1
ENSG00000157978	SIMPLE_AND	1
ENSG00000130770	SIMPLE_AND	1
ENSG00000229044	NULL	-1
ENSG00000162512	SIMPLE_AND	1
ENSG00000158006	INCONSISTENT	2
ENSG00000214812	NULL	-1
ENSG00000126698	SIMPLE_AND	1
ENSG00000229447	NULL	-1
ENSG00000229607	NULL	-1
ENSG00000130766	SIMPLE_AND	1
ENSG00000168528	INCONSISTENT	1
ENSG00000196581	NULL	-1
ENSG00000169403	NULL	-1
ENSG00000084628	BIVALENT	4
ENSG00000060688	SIMPLE_AND	1
ENSG00000171612	SIMPLE_AND	1
ENSG00000270927	NULL	-1
ENSG00000188910	REPRESSED	1
ENSG00000230523	INCONSISTENT	1
ENSG00000116138	SIMPLE_AND	1
ENSG00000158161	SIMPLE_AND	1
ENSG00000142684	SIMPLE_AND	1
ENSG00000121769	NULL	-1
ENSG00000142627	INCONSISTENT	1
ENSG00000284668	SIMPLE_AND	1
ENSG00000233234	NULL	-1
ENSG00000142632	NULL	-1
ENSG00000234593	INCONSISTENT	2
ENSG00000270605	NULL	-1
ENSG00000189337	REPRESSED	1
ENSG00000235084	INCONSISTENT	1
ENSG00000235143	NULL	-1
ENSG00000225478	REPRESSED	1
ENSG00000028137	SIMPLE_AND	1
ENSG00000204464	NULL	-1
ENSG00000233372	NULL	-1
ENSG00000283259	NULL	-1
ENSG00000284543	NULL	-1
ENSG00000130939	SIMPLE_AND	1
ENSG00000175147	BIVALENT	4
ENSG00000127472	INCONSISTENT	1
ENSG00000060656	BIVALENT	4
ENSG00000163867	COMPLEX	4
ENSG00000232768	NULL	-1
ENSG00000230214	REPRESSED	1
ENSG00000189280	REPRESSED	1
ENSG00000134698	SIMPLE_AND	1
ENSG00000134690	SIMPLE_AND	1
ENSG00000272420	NULL	-1
ENSG00000132881	SIMPLE_AND	1
ENSG00000273274	REPRESSED	1
ENSG00000272510	NULL	-1
ENSG00000236648	NULL	-1
ENSG00000232273	NULL	-1
ENSG00000009709	REPRESSED	1
ENSG00000223589	NULL	-1
ENSG00000158008	NULL	-1
ENSG00000130940	BIVALENT	4
ENSG00000116771	NULL	-1
ENSG00000237301	INCONSISTENT	1
ENSG00000163879	COMPLEX	3
ENSG00000227527	INCONSISTENT	1
ENSG00000116954	INCONSISTENT	2
ENSG00000228589	NULL	-1
ENSG00000163873	NULL	-1
ENSG00000117215	REPRESSED	1
ENSG00000196449	SIMPLE_AND	1
ENSG00000230163	NULL	-1
ENSG00000227538	REPRESSED	1
ENSG00000236500	INCONSISTENT	2
ENSG00000044012	REPRESSED	1
ENSG00000179051	SIMPLE_AND	1
ENSG00000215895	NULL	-1
ENSG00000284650	NULL	-1
ENSG00000237329	NULL	-1
ENSG00000236948	NULL	-1
ENSG00000126067	SIMPLE_AND	1
ENSG00000274944	NULL	-1
ENSG00000132906	SIMPLE_AND	1
ENSG00000197312	SIMPLE_AND	1
ENSG00000284748	INCONSISTENT	2
ENSG00000272078	NULL	-1
ENSG00000173660	SIMPLE_AND	1
ENSG00000224592	INCONSISTENT	1
ENSG00000233728	NULL	-1
ENSG00000230451	REPRESSED	1
ENSG00000231606	NULL	-1
ENSG00000215900	NULL	-1
ENSG00000284632	COMPLEX	4
ENSG00000241014	NULL	-1
ENSG00000054118	SIMPLE_AND	1
ENSG00000254553	REPRESSED	1
ENSG00000284653	NULL	-1
ENSG00000237749	COMPLEX	4
ENSG00000276747	REPRESSED	1
ENSG00000284705	NULL	-1
ENSG00000228776	NULL	-1
ENSG00000159339	REPRESSED	1
ENSG00000197982	INCONSISTENT	2
ENSG00000261781	NULL	-1
ENSG00000183317	REPRESSED	1
ENSG00000183386	SIMPLE_AND	1
ENSG00000284743	REPRESSED	1
ENSG00000158315	NULL	-1
ENSG00000204084	SIMPLE_AND	1
ENSG00000186973	REPRESSED	1
ENSG00000146463	SIMPLE_AND	1
ENSG00000183520	SIMPLE_OR	0
ENSG00000271741	COMPLEX	4
ENSG00000214141	NULL	-1
ENSG00000142686	SIMPLE_AND	1
ENSG00000224751	NULL	-1
ENSG00000117148	NULL	-1
ENSG00000230585	NULL	-1
ENSG00000117000	SIMPLE_AND	1
ENSG00000284989	INCONSISTENT	2
ENSG00000231630	NULL	-1
ENSG00000092853	SIMPLE_AND	1
ENSG00000255811	NULL	-1
ENSG00000134697	SIMPLE_AND	1
ENSG00000187513	REPRESSED	1
ENSG00000238145	NULL	-1
ENSG00000225142	NULL	-1
ENSG00000230138	NULL	-1
ENSG00000223390	INCONSISTENT	2
ENSG00000284720	NULL	-1
ENSG00000225671	NULL	-1
ENSG00000116151	INCONSISTENT	2
ENSG00000226147	NULL	-1
ENSG00000006555	REPRESSED	1
ENSG00000236111	REPRESSED	1
ENSG00000066056	NULL	-1
ENSG00000214114	SIMPLE_AND	1
ENSG00000116544	BIVALENT	5
ENSG00000231900	NULL	-1
ENSG00000236723	NULL	-1
ENSG00000232467	NULL	-1
ENSG00000117016	INCONSISTENT	1
ENSG00000121310	INCONSISTENT	2
ENSG00000169213	BIVALENT	4
ENSG00000163866	COMPLEX	4
ENSG00000225779	INCONSISTENT	1
ENSG00000284601	REPRESSED	1
ENSG00000237130	NULL	-1
ENSG00000143001	REPRESSED	1
ENSG00000227416	REPRESSED	1
ENSG00000232335	NULL	-1
ENSG00000260971	REPRESSED	1
ENSG00000259832	NULL	-1
ENSG00000284696	NULL	-1
ENSG00000238242	NULL	-1
ENSG00000285839	SIMPLE_AND	1
ENSG00000237290	REPRESSED	1
ENSG00000232762	NULL	-1
ENSG00000117419	SIMPLE_AND	1
ENSG00000162384	SIMPLE_AND	1
ENSG00000162391	REPRESSED	1
ENSG00000174348	REPRESSED	1
ENSG00000117859	NULL	-1
ENSG00000228121	NULL	-1
ENSG00000253313	REPRESSED	1
ENSG00000162396	INCONSISTENT	2
ENSG00000203995	SIMPLE_AND	1
ENSG00000284686	NULL	-1
ENSG00000162378	SIMPLE_AND	1
ENSG00000233079	NULL	-1
ENSG00000259818	INCONSISTENT	2
ENSG00000229444	NULL	-1
ENSG00000240563	REPRESSED	1
ENSG00000234318	REPRESSED	1
ENSG00000284773	INCONSISTENT	2
ENSG00000234481	NULL	-1
ENSG00000117862	SIMPLE_AND	1
ENSG00000235612	NULL	-1
ENSG00000228369	NULL	-1
ENSG00000183431	SIMPLE_AND	1
ENSG00000227485	NULL	-1
ENSG00000224609	INCONSISTENT	2
ENSG00000235545	INCONSISTENT	2
ENSG00000236646	NULL	-1
ENSG00000232198	NULL	-1
ENSG00000238063	NULL	-1
ENSG00000227104	NULL	-1
ENSG00000243725	SIMPLE_AND	1
ENSG00000171872	REPRESSED	1
ENSG00000162407	NULL	-1
ENSG00000285079	NULL	-1
ENSG00000169218	REPRESSED	1
ENSG00000163877	COMPLEX	4
ENSG00000228929	NULL	-1
ENSG00000224570	NULL	-1
ENSG00000224980	NULL	-1
ENSG00000278967	NULL	-1
ENSG00000157184	SIMPLE_AND	1
ENSG00000198815	SIMPLE_AND	1
ENSG00000134744	SIMPLE_AND	1
ENSG00000233910	NULL	-1
ENSG00000283039	NULL	-1
ENSG00000229032	NULL	-1
ENSG00000229294	NULL	-1
ENSG00000232993	NULL	-1
ENSG00000234088	REPRESSED	1
ENSG00000236973	NULL	-1
ENSG00000277397	INCONSISTENT	1
ENSG00000271200	NULL	-1
ENSG00000235446	NULL	-1
ENSG00000261196	NULL	-1
ENSG00000162385	SIMPLE_AND	1
ENSG00000234264	INCONSISTENT	2
ENSG00000242391	NULL	-1
ENSG00000223883	NULL	-1
ENSG00000284808	NULL	-1
ENSG00000237227	NULL	-1
ENSG00000275350	REPRESSED	1
ENSG00000116652	NULL	-1
ENSG00000123080	SIMPLE_AND	1
ENSG00000285778	NULL	-1
ENSG00000233407	NULL	-1
ENSG00000225675	INCONSISTENT	2
ENSG00000237622	NULL	-1
ENSG00000162598	NULL	-1
ENSG00000280317	NULL	-1
ENSG00000162415	INCONSISTENT	2
ENSG00000162600	SIMPLE_AND	1
ENSG00000116704	INCONSISTENT	2
ENSG00000227644	NULL	-1
ENSG00000157193	SIMPLE_AND	1
ENSG00000116205	INCONSISTENT	2
ENSG00000198841	INCONSISTENT	2
ENSG00000116212	SIMPLE_AND	1
ENSG00000234204	REPRESSED	1
ENSG00000233099	INCONSISTENT	1
ENSG00000233994	NULL	-1
ENSG00000233973	NULL	-1
ENSG00000237552	NULL	-1
ENSG00000132854	REPRESSED	1
ENSG00000227556	NULL	-1
ENSG00000162607	SIMPLE_AND	1
ENSG00000233602	NULL	-1
ENSG00000233271	NULL	-1
ENSG00000285954	REPRESSED	1
ENSG00000233333	NULL	-1
ENSG00000154027	NULL	-1
ENSG00000234108	NULL	-1
ENSG00000232676	NULL	-1
ENSG00000225167	NULL	-1
ENSG00000213579	NULL	-1
ENSG00000137960	INCONSISTENT	2
ENSG00000237852	NULL	-1
ENSG00000116745	NULL	-1
ENSG00000132855	NULL	-1
ENSG00000285407	NULL	-1
ENSG00000272855	NULL	-1
ENSG00000270549	NULL	-1
ENSG00000237163	REPRESSED	1
ENSG00000229636	NULL	-1
ENSG00000116675	NULL	-1
ENSG00000162433	SIMPLE_AND	1
ENSG00000213625	SIMPLE_AND	1
ENSG00000227207	NULL	-1
ENSG00000227016	NULL	-1
ENSG00000233664	NULL	-1
ENSG00000158966	NULL	-1
ENSG00000213703	NULL	-1
ENSG00000203965	INCONSISTENT	2
ENSG00000223479	NULL	-1
ENSG00000233674	NULL	-1
ENSG00000153898	INCONSISTENT	1
ENSG00000117069	NULL	-1
ENSG00000125703	INCONSISTENT	2
ENSG00000285041	NULL	-1
ENSG00000285808	NULL	-1
ENSG00000229440	NULL	-1
